#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	(1) -(r)on; (2) -or	agental suffix (suf)	
uVIG^v8O6c	(1) -as; (2) -th	abstract noun (suf)	
"q#_D>%3v`d"	(1) -ath; (2) -rim	collective or group plural (suf)	
cR~9I.p{0m	(1) -dil; (2) -nil	friend, lover (suf)	
bAqWVOA|%g	(1) -eb; (2) -en; (3) -iel; (4) -in; (5) -ren	adjective suffix (suf)	
kz5yv)UUli	(1) -enc; (2) -engir	our (inclusive), 1st pl. incl. poss. suffix (suf)	
Bur$pWGRo6	(1) -eth; (2) -ien	feminine ending (suf)	
xgq2B%*x8T	(1) -ion; (2) -on(d) (Social Relations)	-region, -land (suf)	
EJ48R}>BAu	(1) -on; (2) -os; (3) -oth (Grammar)	augmentative suffix (suf)	
i@:yF0VZU	(1) Edhel; (2) Eledh; (3) Elen; (4) Ell; (5) penedh	Elf (n)	
k46YHinH>/	(1) Eledhes; (2) Ellas; (3) Elles	*Elf-maid (n)	
"O+P#vCjhqY"	(1) Ithil; (2) Raun	Moon (n)	
ei%p!]X=`c	(1) Mithres; (2) Thenneth	*Grey-Elf (f.) (n)	
GiNT2:0.(A	(1) Mithron; (2) Thennor	*Grey-Elf (m.) (n)	
JJpmg1;acu	(1) Mîth; (2) Thend	*Sinda, Grey-Elf (n)	
M?VChargAH	(1) Nogon; (2) Nogoth	[Greater] Dwarf (n)	
"PEisU7#!^s"	(1) a; (2) ae (interj)	O! (interj)	
y30$t9h5xj	(1) adbanna-; (2) adbannad(a)-	to refill (vb)	
j|Ca9`{cjU	(1) adh; (2) ah	and (conj)	
eCBrR&6u{A	(1) adu; (2) edaid	double (adj)	
t+m[/Vp3ge	(1) aear; (2) gaear; (3) gaer	sea (n)	
Q{y@o5&}@3	(1) aearon; (2) gaeron	*ocean (n)	
zlHQ^g=g15	(1) ael; (2) aelin	lake, pool (n)	
Hq$mBSWfH2	(1) aen; (2) ain	*should, could (adv)	
D(pK.$O!AD	(1) agar; (2) sereg	blood (n)	
