#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
H6NN}!RVJl	-nil	-lover (suf)	
"q$XP.h#09p"	-dur; -nur	-servant (suf)	
e-0{XJc:Ae	-inquë; -nquë	thou-and-I (dual) (suf)	
j-UnB2uuP2	-ldë; -llë	you (plural) (suf)	
"e#m`.Q|q(i"	-ldë; -llë; -ndë	feminine agent (suf)	
f]bTjJ@Py_	-lmo; -ngo; -ngwë; -ngë	we (inclusive dual) (suf)	
NmIL.L*+yw	-ltya	theirs (suf)	
NUu<p$X56Q	-ltë; -ntë	they (suf)	
b7O+sxg,?Y	-lva; -ngwa	our (inclusive) (suf)	
uqDZ5tWJ]8	-lvë	we (inclusive) (suf)	
jZu&@%@uqM	-ma; -nen	instrumental (suf)	
LCuJ6bAy`.	-mmë; -nwë	we (exclusive dual) (suf)	
r-T(*CQ4[0	-mo; -r(o)	agental suffix (suf)	
A(`.j90ttq	-lë; -më; -rë; -ssë; -vë	abstract noun (suf)	
"HxVqJ#c.;:"	-ndor; -nor	country; land (suf)	
wF^O_cM@,&	-ngwa; -nqua	our (inclusive dual) (suf)	
"O$triil#(p"	-s	he; it; she (suf)	
v|$/KE$~x%	-sto; -ttë	they (dual) (suf)	
k8_<*~)$G`	-t; -tyë	you (familiar) (suf)	
it?|vRhM/$	Aldúya	Day of the Two Trees; *Tuesday (n)	
e$PnAHwpkt	Casar; Norno; naucon (naucond-)	Dwarf (n)	
NiezACJWI!	a-	infinitive prefix (pref)	
Po$i1@Ffci	aha; ursa [þ]	rage (n)	
KR=}?{x5k%	aico (aicu-); varassë	cliff (n)	
bKtQ/{Pm,4	aima	anything; whatever (pron)	
ih[G8B!G.|	lirulin	lark (n)	
Q6cVze!HJ-	airalindë	hymn; (lit.) holy song (n)	
f?h7wWZ%LY	aitamo	worshiper (n)	
s-NFs2b%wT	ucésima	unsearchable (adj)	
s!Rm:C8O`m	alacénima; úcénima	invisible (adj)	
Fm}kfJ!o`-	alahasta; vanya	unmarred (adj)	
BIl|h+alY*	alquen	no one; nobody (pron)	
DC+_T`+qO8	maitulya	welcome (adj)	
y+vWo4gsx(	alavistaima	unchangeable (adj)	
PckXv9L{{7	albë; alvë	elm (n)	
rR4`)B?&R<	aldomë; únomë	nowhere (pron)	
L|)]{28%gG	allumë	at no date; never (adv)	
"q#7yBAcjF."	an-	intensive prefix (pref)	
lW5)&0d%]B	amil(lë); ammë	mother (n)	
rJRE.vtke<	amya; emya	(orig.) my mother (n)	
LL_QhE({;~	na-	plu- (pref)	
E^0G}Hn9Ir	andú-; nú-	going down; setting (of sun); west (pref)	
l(e-u]GR,N	andúna; númenya; núna	western (adj)	
q5sDr34-66	andúya-	to descend (vb)	
-6Vxdqy/T	yeldë	daughter (n)	
"b%p#3u1sR}"	angaraxa	train (n)	
CS_QJ=fL*U	limil	chain (n)	
Mt!*9{]97N	apa; ar; mal	but (conj)	
mnM-z4L]]*	nóquista-	to assume; to make premature judgements (vb)	
"f=4m>.m]#p"	aranisquë	frankincense (n)	
mn+mFQ|ndq	arata; arta	exalted; high; lofty; noble (adj)	
"GA;m#`3^RF"	arauco; rauca	demon (n)	
C7^dhO{7aZ	armaro; asambar(o)	*neighbor (n)	
e%ZxcO$v&!	arquenië; arátië	nobility (n)	
H/Xp*<ZMo8	artarindo; astarindo	bystander; supporter (n)	
MEkNFRSAV*	artatúrë; ohérë	government (n)	
Qa*FbdI&U>	vë; ó	with (prep)	
M^RvV~XT!0	asa- [þ]	to agree; to be willing (vb)	
jO]H$D6K{e	nasal [þ]	guest (n)	
K6eTJ4Ls>k	asar(o) [þ]; asarta [þ]	doctor; leech (n)	
r*fAA<+uYr	ascenë [þ]; ascénima [þ]	easily seen; visible (adj)	
q?+[<yaBjB	asumo [þ]	colleague; friend at need; friend with shared interests (n)	
mfPQQD,;?)	attëa; atya	second (ordinal)	
j-BASIm.ZE	aunotë(a); únotë(a)	not counted; uncounted (adj)	
q=S7`6>eZj	öapsar-	to wipe away (vb)	
B~%*?Ncj0a	auta-; öa-	to own; to possess (vb)	
yOSSJt,3x}	vanwiémar (vanwiëmard-)	museum; (lit.) hall of the past (n)	
hvQAh13AyS	úvanë(a)	without beauty (adj)	
vV)M<}.eoa	ava-; vá-	negation (refusing or forbidden) (pref)	
"d7l_^{/#sr"	avalda	excited; move[d]; stirred (adj)	
xRA^?tDoQ`	únut-	to untie (vb)	
yoUg^jp>,L	ca; cana	at back of place; behind (prep)	
qtjQV`rE<c	quainëa	tenth (ordinal)	
E~_99Lj`xA	cainen; quain; quëan	ten (cardinal)	
djNq2,sx>j	quaista	one tenth (fraction)	
N$P?:3}=vF	maquanotië	decimal system (n)	
c:e&gS9y+C	canquain	forty (cardinal)	
x]og129t~N	canquë	*fourteen (cardinal)	
Cqx~<(et<v	canquëa	fourteenth (ordinal)	
o$xfsRsND*	lepecan (lepecant-); lepentë	fourth finger (n)	
N;XhI@$]R@	cantië	pattern (n)	
"b#lm4K2GcK"	canwahimië	obedience (n)	
QIBJ+k5gPM	canwahimya	obedient (adj)	
yWC4tjF^aW	pahtando	orator (n)	
P2-c.Cst9l	quácë	frog (n)	
AK4&s6?D=0	móna	*womb (n)	
rS0=([;~Ci	castol(o)	helmet (n)	
Cko7xCgZ%0	celvacir	butcher (n)	
"oqaf#2~Z#."	cemenquasië [þ]	earthquake (n)	
A71x_gYsvc	cenasit; cenasta	if it be so; may be; perhaps (adv)	
k(Pn}I}E]u	tilma	point (n)	
M)_3<X$Mc}	cirihtor	reaper (n)	
LJ{FLoAdnV	cesyarëa [þ]	interesting (adj)	
J$Qg,*h*3K	vetta-	to witness (vb)	
M=?nA}@57e	ceura; ceurë	renewed (adj)	
e2`+,T.%G&	coingolmë	biology (n)	
p<E8}JH^$>	hér; turo; túrin	lord (n)	
yJL}Y51Rp|	corpë	skull (n)	
Ky@e%LkU>Y	cotto; cotumo	*enemy (n)	
"I#Gf9%7HJ/"	cuivië; cuivë	awakening (n)	
sA(bQ)<Wt*	iqui; qui; quí(ta)	if (conj)	
yC;J|]+cuh	címëa	edged (adj)	
NT<_-yICFt	quista-	to suppose (vb)	
"Md@!A=#FHj"	hya (conj)	or (conj)	
ic]`}x[~Og	effírië; unqualë	death (n)	
CaSqIvK~Hh	eldë	you (plural emphatic) (pron)	
ObeOGU5hK	elen	star (n)	
vB;UdLjsKx	ellumë; millumë	once; one time (adv)	
"sJ#b;SGj@q"	liv-	to anoint (vb)	
dagywFF$L|	enar	tomorrow (n)	
C}Jas>Nj7`	enquain	sixty (cardinal)	
oY{LtdEb@=	epeharmo	president (n)	
wldvj`Kt2i	erma	(physical) matter (n)	
PB,l>K>[vV	essë; issë	he; it (emphatic); *she (pron)	
elR5,$}w&m	etelehta-; eterúna-	*to deliver; (lit.) to free from (vb)	
e=/.xDNDry	etya (adj, Law and Judgment)	exiled (adj)	
A:7CDm<S5(	eteminya; minda; tolya	prominent (adj)	
i]9,;3.)rv	evandilyon	gospel (n)	
"d3]+b#+.;D"	hyana	other (adj)	
il&P^IU9aB	ezel(la); laiqua; venya	green (adj)	
ku1WM5wJgh	ëaren; ëaron	great sea; ocean (n)	
w8ddNOi/5H	fendë	door (n)	
nt9vYsS]3}	hundu-	to thunder (vb)	
FFKQ69/^j*	föa	breath; puff of breath (n)	
n;P}rYidDW	handelóra; úhandëa	witless (adj)	
is)O]S>{Ms	hastaina; sahta; úvana	marred (adj)	
gh@&(<A@tb	hyanda (Possession and Trade)	damage; harm (n)	
"bUY;#m365f"	hasarë [þ]	medicine (as a practice) (n)	
e+}9icFv/1	lattin	window (n)	
"fJZ#2LglOT"	hilië	following (act of) (n)	
r_~OllB$).	hlonaitë; hlonitë	phonetic (adj)	
tRw?I/Rk4q	hlúvo (hlúvu-); lúvo (lúvu-)	fat; greasy (adj)	
GUqobb*v72	holla; holma; pahta	?shut (adj)	
gwpXdr`)`]	holya-	to close; to shut (vb)	
xklwiH[CS$	horina	driven under compulsion; impelled (adj)	
QwUF@{HbxY	hraicenë; hraicénima	hard to see; scarcely visible (adj)	
t0n-m5S=r{	hris-; nicu-	to snow (vb)	
w22{I<JXd|	hru-; ru-	evil- (pref)	
L/[G$`Kyv!	hrupuhta-	to fornicate (vb)	
oy|E(={yCG	hrupuhtië	fornication (n)	
szPMAbm-8%	hrá; rá	on behalf of; *for (prep)	
h|(qVmVbVx	rómë	east (n)	
K6UNx2Nlj+	hrúcarë; rúcarë	evil-doing (n)	
pw3v1d}H&x	hwarwa; hwá	violent wind (n)	
xHP>e&`1:r	hwintaila	confusing (adj)	
Jq[x*WsXb`	hyamië	prayer (n)	
FM/mB6mpOy	hyë	him (the other); other person (pron)	
Q&LP[jn{ll	pentë	front (n)	
"OX#xIa@!5z"	síra	this day; *today (n adv)	
z}rCtkzFP~	hína; onna	child (n)	
w{4X-*5S*3	hó	hound (or ?heart) (n)	
"nFYRN6nPV#"	tungwë	tax (n)	
"`EJSMy#H;"	höa	big; large (adj)	
"dy`&@mp#~_"	húta-	to curse (vb)	
"OUugKI#|k9"	i (article)	the (article)	
gqh4`5b=jY	iër; sívë; tambë; vë	*as (prep)	
q=Z=zBy4AV	ilaurëa	*daily (adj)	
wqEW-Q0c4Q	illumë; quan(an); quá; voro	*always (adv)	
ICdd,j}o1Y	imbenatsë	internet (n)	
"PY8b#-;5YP"	imni	myself (pron)	
c;[52K!6s*	imíca; mica; mici	among (prep)	
m&[ssF|_ef	isima; síma	mind (n)	
zB]`=Fv`jX	laistila; laistëa	ignorant (adj)	
q,v5Y^nbjR	ita; tai	that which; what (conj)	
hU?{i}dY~Y	maicata-	to sharpen (vb)	
dc<iarE?&-	laimaril	emerald (n)	
"p#|i?IzfB_"	lairesta	poetry (n)	
K{%{|*eKHK	laitelë	falsehood (n)	
eA.=~zU&Em	laitita-; raica-	to falsify (vb)	
D}mV^f(]gH	laitë	false (adj)	
g,4v?nRCr<	lambetengwë; náva-tengwë [ñ-]; pataca; pávatengwë; ólama	consonant (n)	
x7wbWRJIFq	lana	no; not (a); not any (adj pron)	
"A-#bRXl.iv"	lanya-	to cross (vb)	
fotRB?Fu.+	latil	key (n)	
NvsH<]jl+W	lattinsan (lattinsam-) [þ]	shutter; (lit.) window-barrier (n)	
Q)(/IoQnld	lempë	five (cardinal)	
w=`sTnUAV,	lempëa	fifth (ordinal)	
mLXQOUJ}J%	lependë	middle finger (n)	
ql5WYeT2pg	lepenquain	fifty (cardinal)	
i%h(Kt)>8Y	lepenquë	*fifteen (cardinal)	
MY_=m`Z:Ix	leper; lepsë	finger (n)	
CYDZ*R)Me+	lepesta	one fifth (fraction)	
"CSh8=#Mz#6"	lepetas (lepetass-); leptas; tassa	index finger (n)	
z^V89I5@/d	lepinca; lepincë (lepinci-); nícë	little finger (n)	
KT!ZfF~tv:	levemma	motion picture; movie (n)	
urMoyeO-Fk	linta; tyelca	swift (adj)	
kNxkz`}k,7	lunca; luqua	heavy transport wain (n)	
"sn)#l.j;}x"	lustavë	emptily; in vain (adv)	
i&gW[o8Kwf	lavar; lávar; löar	(golden) blossom (n)	
IbWjB@[gC^	lós [þ]; olos (olós-) [þ]	inflorescence; mass of flowers (n)	
jk7s7Fz~Et	mahtasta; mahtië	management (n)	
hSo9x[I/Cz	maita; saiqua	hungry (adj)	
qrv!!>k(7c	maitië; saicë	hunger (n)	
ETTXiy&y:;	malina	of golden colour; yellow (adj)	
o_D8/%H{Iy	manta-; manya-	to bless (vb)	
Cx{,k/psa6	martaman (martamn-); martan (martam-)	dwelling-house (n)	
IoTI:Szt-e	martandë; santië [þ]	decision (n)	
u/lKQTuZMl	massa; masta	bread (n)	
"qb#>UEOm>g"	mátima	edible (adj)	
FoS46<s77x	ohtar	warrior (n)	
"E##<za$+]a"	melehta; meletya; taura; túrëa	mighty (adj)	
EL-J/|qrVp	melesellë [þ]	love-sister (n)	
zlv:+xm)=Q	húmë; tuxainen	thousand (cardinal)	
M]@9o{LG|?	mimírima; mimírë	very beautiful (adj)	
kdM!@t^+;w	mista; sinda [þ]; sindë (sindi-) [þ]	grey (adj)	
FDr8+kx<gL	mixa	sharp-pointed; *damp (adj)	
E!)`Nff`9b	mótaro	worker (n)	
NM_lOmiLMf	mulmin	mill (n)	
OPl`T.Wx_@	máralë; máriën	goodness (n)	
"iJO)J#A*<0"	úcarindo	*sinner (n)	
NtT(f$Xibl	nainaima	lamentable (adj)	
xa9Bu(=.>=	namma; nappa	claw; talon (n)	
GB/q|WP<=$	fehtar	destroyer (n)	
