#separator:tab
#html:true
#guid column:1
#tags column:4
"B-N|kF-#aW"	-(r)on; -or	agental suffix (suf)	
uVIG^v8O6c	-as; -th	abstract noun (suf)	
"q#_D>%3v`d"	-ath; -rim	collective or group plural (suf)	
cR~9I.p{0m	-dil; -nil	friend; lover (suf)	
bAqWVOA|%g	-(i)ol; -eb; -en; -iel; -in; -ren; -ui	adjective suffix (suf)	
kz5yv)UUli	-enc; -engir	1st pl. incl. poss. suffix; our (inclusive) (suf)	
Bur$pWGRo6	-eth; -ien	feminine ending (suf)	
xgq2B%*x8T	-ion; -on(d)	-land; -region (suf)	
EJ48R}>BAu	-on; -os; -oth	augmentative suffix (suf)	
i@:yF0VZU	Edhel; Eledh; Ogol; penedh; penn	Elf (n)	
"O+P#vCjhqY"	Ithil; Raun	Moon (n)	
ei%p!]X=`c	Mithres	*Grey-Elf (f.) (n)	
GiNT2:0.(A	Mithron	*Grey-Elf (m.) (n)	
JJpmg1;acu	Mîth	Grey-Elf; *Sinda (n)	
M?VChargAH	Nogoth	[Greater] Dwarf (n)	
"PEisU7#!^s"	a; ae	O! (interj)	
y30$t9h5xj	adbannad(a)-	to refill (vb)	
j|Ca9`{cjU	a; adh; ah; ar	and (conj)	
eCBrR&6u{A	adu; edaid	double (adj)	
t+m[/Vp3ge	gaear	sea (n)	
zlHQ^g=g15	ael	lake; pool (n)	
Hq$mBSWfH2	aen; ain	could; *should (adv)	
D(pK.$O!AD	sereg	blood (n)	
rBj5mcYmR)	sammar	*neighbor (n)	
C8c+R=5h&7	amarth; ammarth	doom; fate (n)	
EwK%v8*b}i	and; ann	long (adj)	
bSS7d&A/]d	ann	gift (n)	
t1N8v=t$S=	anna- (Emotion)	to thank (vb)	
"y_Cpc#k#f="	annad	thanks (n)	
J>@u5Io6&{	aphad-	to follow (vb)	
"PwM=j$#//n"	aphadon; bŷr; echil	follower (n)	
nIFoSUazWd	dambed- [nd-]	to answer (vb)	
s^:k_4[i^f	archadhu	throne; (lit.) high seat (n)	
c=kEZ5=UvW	arnad	*kingdom (n)	
Frdir8iBX1	arben; rochir; rohir	knight (n)	
Jw>dgUkd{_	ardhon; gardhon	province (n)	
E&x7I?G/Sq	astor; astorad	loyalty (n)	
NEmE:}1X@|	othol	stranger (n)	
ILk>Flxp2Z	athragared	interaction (n)	
"t7NrC.G#Lv"	balaen	divine (adj)	
w5q9DE~hu;	balas	divine power; divinity (n)	
p~sOq,ncc.	maf	sheep (n)	
"D#.BvVaYwH"	banath; beinas	beauty (n)	
O?`0{i%.SA	brand; brann	fine; high; lofty; tall and massive; towering (adj)	
obiE)YWKih	pae	ten (cardinal)	
cL:LKFLnY|	paenui	tenth (ordinal)	
NnW]/wA`.8	caphaen	forty (cardinal)	
IPe:nR|E8>	mâb	hand (n)	
e,ZdB/%p%S	paegan	fourteen (cardinal)	
G.yQ{*CdA)	canthui	fourth (ordinal)	
I8vY,54r-2	carth	deed (n)	
u~pEK|M&tt	coll; raudh	hollow (adj)	
e.UfRCXelF	colron	bearer (n)	
fz_HwF1-dF	corod; rind; ringorn	circle (n)	
K}(P>]6@2v	cothren; cuid	hostile (adj)	
G{gkCa(H~^	dammen- [nd-]	to go back; to return (vb)	
n27,G,)CbX	angos; dael [nd-]; del; girith; gor [ng-]; gorog; goroth [ng-]	horror (n)	
s+]yWifOJ2	dail	beautiful; delicate; fine; lovely (adj)	
EM;_8HL.AH	dond; donn; paur	fist (n)	
HuX3Xf6pdO	díhena-; gohena-	*to forgive (vb)	
D,Pr}}I/<^	dínen	silent (adj)	
d$BVf9[9xh	echuiru-	to come to life (vb)	
Ag68Md_z.6	edhelvein	elven fair (adj)	
u&o?p3DRYs	tadui	second (ordinal)	
"xy2<oajq#T"	egelren	different; strange (adj)	
iI5=gO&tV8	egol	else; something else (adv n)	
I:-T=IJwVD	ethia-	to assist; to ease (vb)	
d]?</8Xtpa	el; gil [ng-]	star (n)	
w?jtCSnuFm	enaidh	central; middle (adj)	
PtxrEOEry:	enchui	sixth (ordinal)	
LK5,Iw%M-l	enephaen	sixty (cardinal)	
x~$,sUs731	paeneg	sixteen (cardinal)	
iAWw*.3$9i	ent; est; idi(r); ith	3rd pl. pronoun; they (pron)	
NEb+<X0mET	eriab	badger (n)	
Nu)-`7xz4a	esten(t); thenn; thent	short (adj)	
"O*N$Ytb#<C"	fanna-	to cloak; to veil (vb)	
fj>Fl6|e/2	faus(t)	thirst (n)	
"o}b`#Y1k3Q"	golas; golass	collection of leaves; foliage (n)	
Eyz9@V9F|P	raug	demon; powerful hostile and terrible creature (n)	
PXO]MNWR3T	grond; gronn	ponderous; weighty (adj)	
O.q%C?K5]|	gwabeth; pethas	phrase; sentence (n)	
"F|ft[4])#_"	gwadoras	association; fellowship; society; union (n)	
Rj8|=`>mx<	gwe; pe	we (inclusive) (pron)	
w%sUa%q%(l	gwem; leweg; lhûg	worm (n)	
vrBl~:AwOc	gwen; pen	us (inclusive) (pron)	
