(a)lá|yes (interj)
(a)nacca|narrows, defile, pass, cut (n)
(a)taryo|daddy (n)
(ana)tarwesta|crucifix(ion) (n)
(apa)ruivë|wild fire, fire as conflagration (n)
(cirya)talan|deck (of a ship), main deck (n)
(e)mecima|accurate, always aiming at the mark (adj)
(h)róna|eastern, east (adj)
(i)missë|inside (n)
(lu)lútië|cruise, (lit.) floating/sailing about (n)
(n)ungwar-|to undermine, weaken, hinder, sabotage, sap, (lit.) to under/down-fret (vb)
(o)combëa|collective, assembled, cooperative, concerted, corporate, consolidated (adj)
(o)combë|gathering, assembly, assemblage, collection, *congregation (n)
(o)notasta|amount (n)
(y)otulma|coincidence, concurrence, simultaneity, synchronicity (n)
-(i)la|active participle (suf)
-(i)llo|you (dual) (suf)
-(n)dil|-friend, -lover; devotion, disinterested love (suf)
-(n)duinë|(large) river (suf)
-(n)dur|servant; ⚠️to serve (suf)
-(n)dórë|-illion, *large number suffix (suf)
-arya|*inceptive (suf)
-a|adjectival suffix (suf)
-carya|-doing (suf)
-carë|action, doing, making (suf)
-cca|your (dual) (suf)
-ccë|you (dual) (suf)
-da|product of an action (suf)
-dil|-friend, -lover (suf)
-duinë|(large) river (suf)
-dur|-servant (suf)
-enca|without, -less (suf)
-e|plural of adjectives (suf)
-iel|-daughter; feminine suffix (suf)
-ien²|-land (suf)
-ien¹|feminine ending; ⚠️feminine patronymic, -daughter (suf)
-ilco|you (dual) (suf)
-ima|-able, [ᴹQ.] -ible, able to be done, [ᴱQ.] possible; [with short base vowel] *having a (strong) nature of (suf)
-ina|adjective suffix; passive participle (suf)
-incë|diminutive ending (suf)
-inqua|-ful, complete (suf)
-inquë|thou-and-I (dual) (suf)
-ion|-son, masculine patronymic (suf)
-issë|ending in feminine names (suf)
-ita|particular infinitive (suf)
-itë|adjectival ending; [with verbs] capable of doing, generally (and naturally) doing (suf)
-i²|simplest aorist infinitive (suf)
-i¹|general plural for nouns (suf)
-ië²|gerund suffix, -ing (suf)
-ië³|perfect suffix (suf)
-ië¹|abstract noun, adverb (suf)
-l(yë)|you (polite) (suf)
-la|active participle (suf)
-lda²|your (dual) (suf)
-lda³|a comparative suffix (suf)
-lda¹|your (plural) (suf)
-ldë²|feminine agent (suf)
-ldë¹|you (plural) (suf)
-li|partitive plural (suffix); many, some, a lot of (suf)
-lla²|your (dual) (suf)
-lla¹|your (plural polite) (suf)
-llo|(movement) from, [ᴱQ.] out of, [Q.] ablative suffix (suf)
-llumë|-times (suf)
-llë²|you (plural) (suf)
-llë³|you (dual polite) (suf)
-llë¹|feminine agent (suf)
-lma²|our (inclusive) (suf)
-lma³|our (inclusive dual) (suf)
-lma¹|our (exclusive) (suf)
