(1) -(r)on; (2) -or|agental suffix (suf)
(1) -as; (2) -th|abstract noun (suf)
(1) -ath; (2) -rim|collective or group plural (suf)
(1) -dil; (2) -nil|friend, lover (suf)
(1) -eb; (2) -en; (3) -iel; (4) -in; (5) -ren|adjective suffix (suf)
(1) -enc; (2) -engir|our (inclusive), 1st pl. incl. poss. suffix (suf)
(1) -eth; (2) -ien|feminine ending (suf)
(1) -ion; (2) -on(d) (Social Relations)|-region, -land (suf)
(1) -on; (2) -os; (3) -oth (Grammar)|augmentative suffix (suf)
(1) Edhel; (2) Eledh; (3) Elen; (4) Ell; (5) penedh|Elf (n)
(1) Eledhes; (2) Ellas; (3) Elles|*Elf-maid (n)
(1) Ithil; (2) Raun|Moon (n)
(1) Mithres; (2) Thenneth|*Grey-Elf (f.) (n)
(1) Mithron; (2) Thennor|*Grey-Elf (m.) (n)
(1) Mîth; (2) Thend|*Sinda, Grey-Elf (n)
(1) Nogon; (2) Nogoth|[Greater] Dwarf (n)
(1) a; (2) ae (interj)|O! (interj)
(1) adbanna-; (2) adbannad(a)-|to refill (vb)
(1) adh; (2) ah|and (conj)
(1) adu; (2) edaid|double (adj)
(1) aear; (2) gaear; (3) gaer|sea (n)
(1) aearon; (2) gaeron|*ocean (n)
(1) ael; (2) aelin|lake, pool (n)
(1) aen; (2) ain|*should, could (adv)
(1) agar; (2) sereg|blood (n)
(1) ahamar; (2) sammar|*neighbor (n)
(1) amarth; (2) ammarth|fate, doom (n)
(1) and; (2) ann (adj)|long (adj)
(1) ann; (2) anw|gift (n)
(1) anna-; (2) hanna- (Emotion)|to thank (vb)
(1) annad; (2) hannad|thanks (n)
(1) aphad-; (2) hil-|to follow (vb)
(1) aphadon; (2) echil|follower (n)
(1) aphed-; (2) dambed-|to answer (vb)
(1) arahadhw; (2) archadhu; (3) archaf|throne, (lit.) high seat (n)
(1) aranarth; (2) arnad|*kingdom (n)
(1) arben; (2) rohir|knight (n)
(1) ardhon; (2) gardhon|province (n)
(1) astor; (2) astorad|loyalty (n)
(1) athal; (2) othol|stranger, guest (n)
(1) athragardh; (2) athragared|interaction (n)
(1) balaen; (2) bâl|divine (adj)
(1) balas; (2) bâl|divinity, divine power (n)
(1) bam; (2) maf; (3) maw|sheep (n)
(1) banath; (2) beinas|beauty (n)
(1) brand; (2) brann (adj)|towering, tall and massive, [N.] high; lofty, noble, fine (adj)
(1) caen; (2) pae; (3) paean|ten (cardinal)
(1) caenui; (2) paenui|tenth (ordinal)
(1) cambaen; (2) caphaen|forty (cardinal)
(1) camm; (2) maw|hand (n)
(1) canab; (2) paegan|fourteen (cardinal)
(1) canhui; (2) canthui; (3) cantui|fourth (ordinal)
(1) carn; (2) carth|deed (n)
(1) coll; (2) naw (adj)|hollow (adj)
(1) colron; (2) cyll|bearer (n)
(1) corod; (2) rind; (3) ringorn|circle (n)
(1) cothren; (2) cuid|hostile (adj)
(1) dadwen-; (2) dammen-|to return, go back (vb)
(1) dael; (2) del; (3) gorog; (4) gorth|horror (n)
(1) dail; (2) deil|beautiful, fine, delicate, lovely (adj)
(1) delch; (2) delch (Spatial Relations)|dense (adj)
(1) dom; (2) dom (Body Parts and Functions)|blind (adj)
(1) dond; (2) donn|fist (n)
(1) duwath; (2) dúath|night shadow, dark/black shadow, [N.] night-shade (n)
(1) díhena-; (2) gohena-|*to forgive (vb)
(1) dínen; (2) tínen|silent (adj)
(1) echuira-; (2) echuiru-|to come to life (vb)
(1) edhelvein; (2) vanedhel; (3) wanedhel|elven fair (adj)
(1) edwen; (2) tadui|second (ordinal)
(1) egelren; (2) elegren|different, strange (adj)
(1) egol; (2) elch|else, something else (adv n)
(1) eitha-; (2) ethia-|to ease, assist (vb)
(1) elen; (2) gill; (3) êl|star (n)
(1) enaid; (2) enaidh|central, middle (adj)
(1) enchui; (2) encui; (3) enecthui|sixth (ordinal)
(1) enebaen; (2) enephaen|sixty (cardinal)
(1) enem; (2) eneph; (3) paeneg|sixteen (cardinal)
(1) ent; (2) est; (3) idi(r); (4) ith|they, 3rd pl. pronoun (pron)
(1) eriab; (2) thindrostir|badger (n)
(1) est; (2) eth; (3) is|he, she, it, 3rd sg. pronoun (pron)
(1) esten(t); (2) thenn; (3) thent|short (adj)
(1) fanha-; (2) fanna-|to veil, cloak (vb)
(1) faul; (2) faus(t)|thirst (n)
(1) for; (2) fuir|north (adj)
(1) glind; (2) glinn|*song (n)
(1) golas; (2) golass|foliage, collection of leaves (n)
(1) graug; (2) raug|demon, powerful hostile and terrible creature (n)
(1) grond; (2) gronn|weighty, ponderous (adj)
(1) gwabeth; (2) pethas|sentence, phrase (n)
(1) gwachonas; (2) gwadoras|union, association, fellowship, society (n)
(1) gwaeren; (2) gwaeren (Physical World)|windy (adj)
(1) gwe; (2) pe|we (inclusive) (pron)
(1) gwem; (2) leweg|worm (n)
(1) gwen; (2) pen|us (inclusive) (pron)
(1) gwâw; (2) hwaewar; (3) hwâ; (4) wá(wa)|breeze[?] (n)
(1) gwîn; (2) pîn (pron)|our (inclusive) (pron)
(1) hadhma-; (2) hadhwa-|to seat (vb)
(1) hanar; (2) hawn|brother (n)
(1) hav-; (2) her-|to pray (vb)
(1) heruin; (2) heryn|lady (n)
(1) him; (2) oel (adj)|cool (adj)
(1) hin; (2) hí; (3) sí(r); (4) thî|now (adv)
(1) hithren; (2) mithren; (3) thinn|grey (adj)
(1) honeg; (2) honig|brother (diminutive) (n)
(1) hŷl; (2) porochuil|hen (n)
(1) ias; (2) mas|where (adv)
(1) iath; (2) iâd; (3) iâth (Social Relations)|fence (n)
(1) inga-; (2) pista-|to suppose (vb)
(1) inib; (2) yneb|*twelve (cardinal)
