-a-|subjective inflection (suf)
-ada|-ward; against; into; to; toward (prep)
-ak|away (prep)
-an|common subjective suffix (suf)
-at|dual suffix (suf)
-dâ-|verbal suffix (suf)
-hin|child; patronymic (suf)
-im|gendered plural subjective suffix (suf)
-in|feminine subjective suffix (suf)
-iyê|language suffix (suf)
-ma|instrumental (draft) (suf)
-m|verb-plural (suf)
-mâ|with (prep)
-nud|on (prep)
-n|predicate suffix (suf)
-phel|?-daughter (suf)
-râ-|causative suffix (suf)
-s|dative (draft) (suf)
-thôr|?-son (suf)
-u-|objective inflection (suf)
-un|masculine subjective suffix (suf)
-zê|at (prep)
-ân (Grammar)|participle suffix (suf)
-ân (Physical Acts and Materials)|agental suffix (suf)
-êth; -î|feminine suffix (suf)
-î-|plural inflection (suf)
-ôn|adjective or agental suffix (suf)
-ô|from (prep)
-û|masculine suffix (suf)
-ō|genitive (draft) (suf)
Adûnayân|language of Númenor (n)
Adûnâ|Númenórean; (lit.) Westerner (n)
Ar-|king or queen (pref)
Avalê|goddess (n)
Avalô|God; Power (n)
Balâ|*Vala (draft) (n)
Nimir|Elf; (lit.) Shining One (n)
Nimriyê|Nimrian Tongue; *Elvish (n)
aban|?world (n)
abâr|endurance; fidelity; strength (n)
adûni|the West (n)
adûn|west; westward (n)
agan|death (n)
aglar|glory (n)
akhâs|chasm (n)
ammê|mother (n)
an-|genitive/adjectival prefix; of (pref)
anadûni|western (adj)
anâ|human being (n)
aphana|?bliss (n)
attô|father (n)
azar|star (draft) (n)
azgarâ-|to wage war (vb)
azga|war (n)
azra-zâin|maritime regions; sea-lands (n)
azra; pharaz|sea (n)
azûl|east (n)
a|*it (pron)
balak|ship (n)
banâth|wife (n)
bat-|to walk (vb)
batân|path; road; way (n)
bawab|wind (n)
bith-|to say (vb)
burôda|(very) heavy (adj)
bâr; khôr|lord (n)
bâ|don’t (particle)
bêl-|to love; *to befriend (vb)
bên|servant; ?person (n)
bêth|expression; saying; word (n)
dalad|beneath; under (prep)
dolgu|(evil) night; dark (n)
dubud-|to fall (under influence/cover of) (vb)
dulgu|black; dark (adj)
du|should; so-as (pref)
dâira|Earth (n)
dâur|gloom (n)
gimil|(all) stars; ?silver (collective-noun)
gimli|star (in the sky) (n)
hazad|seven (n)
hi|she (pron)
huzun|ear (n)
hê|me (pron)
igmil|star-shaped figure (n)
inzil|flower; lily (n)
izindi|right; straight; true (adj)
izindu-bêth|prophet; true-sayer (n)
izrê|beloved; sweetheart (n)
kadar-lâi|city folk (n)
kadar|city (n)
kadô|and so (conj)
kalab-|to fall (down) (vb)
kali|woman (n)
kamāt|earth (draft) (n)
kan-|to hold (vb)
karab|horse (n)
katha|all (adj)
kathuphazgân|conqueror (n)
khay-|to lie (down) (vb)
khibil|spring (n)
khô|crow (n)
ki|*you (pron)
kulbu|root (n)
kulub|edible vegetables that are roots not fruits; roots (collective-noun)
lâi|folk (collective-noun)
lôkho|bent; crooked (adj)
lômi|(pleasant) night (n)
mag-|to build (vb)
magân|wright; *builder (n)
manô|spirit (n)
menel|the heavens (draft) (n)
minal|sky; the heavens (n)
miya|infant (n)
mîk|*baby boy (n)
mîth|baby girl; little girl; maid-child (n)
nadroth|hind-track (n)
nad|hind; *behind (prep)
nai|might (draft) (adv)
nakh-|to come (vb)
narak|eagle (n)
nardû|soldier (n)
narû|male; man (n)
nimruzîr|Elf-friend (n)
nithil|girl (n)
nitir-|to kindle (vb)
nuphâr|parent (n)
nâlu; ugru|shadow (n)
nê|us (pron)
nîlu|moon (n)
nûph|fool (n)
obroth|fore-cutting (n)
ob|fore; *before (prep)
pharaz|gold (n)
phazag-|to conquer; ?to rule (vb)
phazân|king’s son; prince (n)
phurus-|to flow; to gush (vb)
pâ|hand (n)
pûh|breath (n)
raba|dog (n)
rahat-|to break; to rend (vb)
rôth|foam; white crest of waves (n)
rûkh|shout (n)
sakal|shore (n)
saphad-|to understand (vb)
sapthân|wise man; wizard (n)
satta|two (n)
sulum|mast (n)
sâibêth|assent (n)
sûla|trump (n)
tabad-|to touch (vb)
tamar|smith (n)
thâni; zâyan|land (n)
tâidô|once; then (adv)
târik|pillar; that which supports (n)
tûbal|*pillar (draft) (n)
ugrudâ-|to overshadow (vb)
urud|mountain (n)
urug|bear (n)
uruk|goblin; orc (n)
u|he (pron)
yad-|to go (vb)
ya|*they (neuter) (n)
yi|they (feminine) (pron)
yu|they (masculine) (pron)
yô|gift (n)
zabath-|to (be) humble (vb)
zabathân|humbled (adj)
zadan|house (n)
zagar|?sword (n)
zen|land (draft) (n)
zidar|poise (n)
zigûr|wizard (n)
zimra|jewel (n)
zinî|female (n)
zâir|longing; yearning (n)
zîr-|to desire; *to love (vb)
zîrân|beloved (adj)
zôr|?fire; ?foam (n)
zôrî|nurse (n)
ârû|king (n)
êphalak|far away (adj)
êphal|far (adj)
îdô|now (adv)
ûri|sun (n)
