agh|and (conj)
ash|one (cardinal)
-at|verb ending (like a participle) (suf)
bagronk|cesspool; torture chamber (n)
búbhosh|great; dung-heap, muck heap (adj n)
búrz|dark (adj)
burzum|darkness (n)
durb-|constrain, force, dominate (vb)
ghâsh|fire (n)
gimb-|to seek out, to discover (vb)
glob|fool; filth (n)
Golug|Noldor (n)
goth|lord or master (n)
gûl|phantom, shadow of dark magic, wraith; †black arts, sorcery (suf)
gûldur|sorcery (n)
-hai|folk (suf)
ishi|in, inside (prep)
krimp-|to tie, to bind (vb)
lûg|fortress, lock-up, prison (n)
nazg|ring (n)
Nazgûl|Ring-wraith (n)
Oghor-hai|Wose-folk (n)
olog|Troll (n)
Olog-hai|Troll-folk (n)
pushdug|dungfilth; stinking (n adj)
sha|with (prep)
sharkû|old man (n)
skai|interject[ion] of contempt (interj)
snaga|slave (n)
tark|man of Gondor (n)
thrak-|to bring by force, to hale, to drag (vb)
u|to (prep)
-ûk|the whole, all (suf)
-ul|3rd-person-pl-object, them (suf)
-um|particularizing suffix (article)
uruk|Orc (n)
Uruk-hai|Orc-folk (n)
