-carn; -garn|*-made (suf)
-eb|adjectival suffix (suf)
-iad|comparative ending (suf)
-iant|superlative ending (suf)
-ion|*agental suffix (suf)
-rod|abstract nom[inals] (suf)
-tha|causative suffix (suf)
-ui|adjective suffix (suf)
Egol; Idhel; Ileth; Uidhol; Uigol|elf (n)
Golodh [ng-]|Gnome, Deep-elf (n)
Goloth [ng-]; Golt|gnome (n)
Gwenn|Elf (n)
Im|a royal elf (high-elf), fairy (n)
Uidhel|elf, fairy (n)
a(n)|of (the) (prep)
ach|waterfall (n)
adab-|to build, establish (vb)
adag-|to build, erect, establish (vb)
adengion; edebion; edengion|builder (n)
adob|building (n)
agladhren|radiant (adj)
aglann|ray of light (n)
aglareb|glorious (n)
aglar|glory (n)
agos|very (adv)
aidh|pain, anguish, woe (n)
aiglir|peak, mountain top (n)
aigos|pine-tree (n)
aig|high, steep (adj)
ailin|lake (n)
aithl|spring, fount, source (n)
aithorn|lightning (n)
aithr (Agriculture and Vegetation)|thorn, sword (n)
aithr (Warfare and Hunting)|spearman, warrior (n)
aith|thorn, †spear (n)
aiw|bird (n)
ai|cry of pain or woe (interj)
alaith|shielding, warding off, protect(ion) (n)
alanc|*shielded, protected (adj)
alch|shield (n)
alcor|temple (n)
alf; gwanwen|swan (n)
alfuilin|large white sea-bird, albatross, †swan (n)
alm|back (from shoulder [to shoulder]) (n)
alt|bough, branch (n)
am(b)os|breastplate (n)
am(b)red|fated (adj)
am(b)|breast (n)
am(m)arth|fate (n)
amon|hill (n)
amoth|shoulder (n)
amra-; amrosta-; rhosta-|*to rise (vb)
amrent; amrint|lark (n)
amrost|rising, (esp.) sunrise (n)
amros|rising, soaring, lofty (adj)
amvenn|uphill; arduous, difficult, tiresome (adj adv)
amvinn|slope, incline, hillside (n)
am|up (adv)
anc|spear (n)
angath|fetters (n)
angeb|like iron (adj)
angren|of iron (adj)
ang|iron (n)
annas|face, countenance (n)
ann|door (n)
ant|face, front, forward surface (n)
archos|roughness, ruggedness, rudeness (n)
arch|rough (adj)
argen-|?to search over (vb)
arn|child (n)
arog|swift (adj)
ar|*and (conj)
asgatheb|bony (adj)
asg|bone (n)
athelas|a healing herb (n)
athra-|to face, look in a certain direction, oppose (vb)
au; û|*negative (adv)
aulos; taur|forest (n)
aust; awest|summer (n)
aus|hoard (n)
avod|again, back again, in return (adv)
avosaith|gloomy places (n)
awes; gwes(t); hiw|rich (adj)
a|like (prep)
bad|way (n)
bag-|to sell, trade (vb)
bagarth|market (n)
bagod|trade, trading (n)
bagru|wares (n)
bail|sheath (n)
baith|clothes, garments, dress (n)
bai|clad (adj)
bal- [mb-]|evil- (pref)
bala|round hump, hump, hillock (n)
balfaug|drunken (adj)
balhant|illfated stroke (n)
ballam|with evil malicious tongue (adj)
balodog|too much (adj)
balt (Body Parts and Functions)|might (n)
balt (Physical World)|a plain (n)
balthanc|obstinate (adj)
balthir|evil king (n)
balvlaud|overweening pride (n)
balwidhion|?bad husband (n)
band [mb-]|hell (n)
bang|staff (n)
barcheb|horrible (adj)
barch|horror (n)
barth|world, earth (n)
basgorn [mb-]|round loaf, cake (n)
bast [mb-]|bread (n)
be(i)gion|trader (n)
beleg|great, large, huge (adj)
belon|*sail (n)
benn|sloping, inclined, slanting, up or down hill (adj)
binn|slope, hillside, bank (n)
blador|world (n)
blaithren|foggy (adj)
blaith|fog, gloomy mist (n)
bland|deceit, lie (n)
blaud|pride (n)
blith|breeze (n)
bliw|oil (n)
blodren|arrogant (adj)
blé|fat of meat (n adj)
bod-|back (pref)
bodamrost|resurrection (n)
bodamros|that lives again, renewed, renovated (adj)
bodruith|revenge (n)
bod|back (adv)
boer; boir [mb-]|hot, raging; heat, rage (adj n)
bogligen|cheap (adj)
bogodog|dear, *expensive (adj)
bog|price, cost (n)
bordh [mb-]|heat, rage; hot, raging, wroth (n adj)
born|great age, age, period (n)
boron|steadfast (adj)
bost [mb-]|back from shoulder to shoulder (n)
