(a)cainu-; vesta-|to wed (vb)
(a)cainusta|marriage; wedding (n)
(a)malda|gentle; kind; soft; tender (adj)
(a)rauca|rushing; swift (adj)
(a)rauce|demon; fiend (n)
(ana)tarwesta|crucifix(ion) (n)
(en)no; ento|next (adv)
(en)no|*then (adv)
(es)sa|*that (there) (pron)
(h)áva|*its; 3rd sg. neut. possessive emphatic (adj)
(h)íva|*her; 3rd sg. fem. possessive emphatic (adj)
(h)úva|*his; 3rd sg. masc. possessive emphatic (adj)
(m)ambe; ama; amaimi; ambi; amis; ammi; âmi|mother (n)
(or)tande|above (of motion upwards) (adv)
(uru)purnie|conflagration (n)
-(a)r|masculine/agental suffix (suf)
-(l)inta; -(w)inta; -(w)inte; -inya; -itsa; -itse; -linte; -litse; -lla; -lle; -pi(t); -pin(ce); -tsa; -íne(a)|diminutive (suf)
-(n)dóra|million (suf)
-(n)dóre|*large number suffix; -illion (suf)
-(u)ma|a; an; certain; some (suf)
-(v)ando; -(y)ando; -yanda|augmentative (adj)
-a; -ea; -ina; -ra|adjectival suffix (suf)
-alca; -elca; -olca|able to (suf)
-alima; -ima|-able; possible (suf)
-co; -to|reflexive suffix (suf)
-cto|reflexive (suf)
-i; -r|plural suffix (suf)
-ica|partitive (suf)
-ie; -le; -me; -sse|abstract noun (suf)
-ilda; -lda; -umea; -umya; -úme|augmentative (suf)
-ilqua|-ly or -like (suf)
-il|*(feminine) patronymic (suf)
-ince|*diminutive (suf)
-ine; -lin; -lis; -re; -rin|noun suffix (suf)
-inen|of; out of; partitive suffix (suf)
-inya|worthy to be - (suf)
-ion; -yon|-son (suf)
-issa; -quet(se)|language (suf)
-ite|adjective ending (suf)
-li|many; multiplicative suffix (suf)
-llo|ablative suffix; from; out of (suf)
-llume; -luxe|-times (suf)
-lta|?causative (suf)
-l|dative suffix; plural [verb] (suf)
-léni; -lénu|long (suf)
-mas (-mast-)|-by; -ton (suf)
-matwa|*-eating (suf)
-ma|a; certain; passive participle; some (suf)
-mo|agental suffix (suf)
-n (-nd-)|active participle (suf)
-ndo; -nu|masculine suffix (suf)
-ndon|-ily; -ly; manner suffix (suf)
-ngwe|*together (suf)
-ni; -si; -sse; -tsi (Mankind)|feminine suffix (suf)
-noina; -noite; -se; -voite; -wa; -ya|adjective suffix (suf)
-nta; -tta|allative suffix; at; to; towards (suf)
-nto; -sto|fraction suffix (suf)
-n|genitive suffix (suf)
-oran; -uran(do)|town (suf)
-o|genitive ending (suf)
-quil(e)a|-hued (suf)
-quilna|-pied (suf)
-r (Grammar)|impersonal [verb] (suf)
-r (Spatial Relations)|*allative (suf)
-sse (Grammar)|at; by; in; inessive suffix (suf)
-sta|gerund; infinitive; verbal noun (suf)
-tenda|having fingers (suf)
-tule (tuli-)|bearing; etc. (suf)
-tya|causative; comparative (suf)
-t|dual (suf)
-u|adverb suffix (suf)
-valta; -vilte (-vilti-)|-less (suf)
-va|adjectival (suf)
-více|as (suf)
-wen|*number suffix (suf)
-we|a; an (suf)
Ahúra|Sun (n)
Aini|(pagan) goddess (n)
Aino|one of the great Valar (n)
Ainu|a (pagan) God (n)
Ambalar; Ambustar|the East (n)
Amillion; Sovalwaris|February (n)
Avestalis (Avestaliss-)|January (n)
Eldalie|Elf-folk; People of the Elves (n)
Eldarin; Eldarinwa|Elfin (adj)
Eldarissa|Language of the Eldar (n)
Elda|Elf; beach-fay (n)
Enu|Almighty Creator; God Almighty (n)
Narquelion (Narqeliond-)|Autumn (n)
Noldorinwa|Gnomish; Goblin (adj)
Noldorin|Gnomish (adj)
Noldorissa|Language of the Noldoli (n)
Quen; Quende (Qend-)|Elf (n)
Quenyarin|*Elvish (n)
Quenya|Elvish (n)
Rána|Moon (n)
Sil (Sill-)|Moon; Rose (n)
Tuilére|Spring (n)
Vala|God (n)
Valde; Valis; Valme; Valsi|female god (n)
Valmo; Valon|male god (n)
a-|*intensive prefix; 3rd sg. neut. pronoun; it (pref)
a; ha|it (pron)
aca-; are-; ari-; ole-; oli-; sa-|intensive (pref)
aca; are; olóle|intensive; very (adv)
acaire (akairi-)|wedded life; ‘living beside’ (n)
acairis (akairist-)|bride; wife (n)
acairisan (akairisamb-)|bride chamber; thalamus (n)
acca|too (adv)
aci|excessive; extreme; vehement (adj)
acta; ent; fint; tengwe; tengwet(ta); tingwe|notion (n)
ahúrasilqui; ránuringwi|sun and moon (n)
aicasse; aicor|pine-tree (n)
aica|broad; vast (adj)
aico; falqua; ollo (aiku-)|cliff (n)
aicuvoite|cliffy; rocky (adj)
aile; marmale; soracte|beach (n)
ailin; ailo (ailind-)|lake; pool (n)
ailin; rímen|shore (n)
ailinon|water lily (n)
aimactar; aimactu|martyr (m.) (n)
aimaxin (aimaksi-)|martyr (f.) (n)
aimo|saint (m.) (n)
ainar (ainast-)|temple [body part] (n)
aina|holy; revered; worshipful (adj)
aipio; pio|cherry (n)
aiquaire|fir; pine (tree) (n)
aiquale|a steep; steepness (n)
aiquasse|precipice (n)
aiqua|chief; high; lofty; steep; sublime; tall (adj)
aiquie|height; highness (n)
aira|holy; worshipful (adj)
aire (n)|saint (f.) (n)
aire; haura (adj)|old (adj)
ais (aist-)|good name (n)
aistalea|worshipful (adj)
aistale|worship (n)
aista|honour; reverence (n)
aiwe; oi(we); oive; vilin|bird (n)
ai|ha!; o! (interj)
al-|form of the negative particle (pref)
ala (interj)|behold; look (interj)
ala (prep)|after; before; beyond (prep)
ala-|?to grow (vb)
ala; vasse (n)|wing (n)
alalme (alalmi-)|elm (tree) (n)
alanda; faldi; halda; landa; panta|wide (adj)
alanda; halda; landa|broad (adj)
alantya|*shielded; protected (adj)
alapumba; lapumba|drum (n)
alas (alast-)|marble (n)
alasca; alaswa; alaxe|like marble (adj)
alasta|marble; of marble (adj)
alatya-|to protect; to shield; to ward off (vb)
alayambo|hurrah! (interj)
alcana-; canda-|to blaze (vb)
alcanta-|to make shine (vb)
alcar (Emotion)|glory (n)
alcar (Sense Perception)|light of day; shining (n)
alcar (Warfare and Hunting)|shield (n)
alcar(in)|shrine; temple (n)
alcara|bright; brilliant; shining (adj)
alca|light of day; ray (of light); shining (n)
