(be)bilfir|conscience (n)
(g)lairin; glîr|*poem (n)
(g)leg; aitheb; aithra; crisc|sharp (adj)
(g)leg; aitheb; aithra|piercing (adj)
(g)leg|keen (adj)
(m)ami|mummy (n)
(m)bara-; gwadh-; gwar-; mara-; rûtha-|to dwell (vb)
(n)ada|daddy; father (n)
(n)adi; ada|daddy (n)
(n)adi; bâb; nathon|father (n)
(n)gôl; macha; magru|slaughter (n)
-(a)vlid|-less (suf)
-(i)ol; -(r)in; -r(i)ol; -ra; -thol; -wed|adjective suffix (suf)
-(i)on; -eg|adjectival suffix (suf)
-(n)ir|(feminine) agent (suf)
-(o)th; -eth; -ios; -ith; -os; -ri|abstract noun (suf)
-(r)il|feminine agent (suf)
-(r)on; -ir; -or|agental suffix (suf)
-(u)m|?indefinite suffix (suf)
-a; -n|genitive suffix (suf)
-bar|-ham; dweller; home (suf)
-chi|dim[inutive] suffix (suf)
-c|noun or adjective suffix (suf)
-drin; -glin; -grin|suffix in the name of languages (suf)
-gen|*earth (suf)
-i; -r|dative suffix (suf)
-iant(ha); -iont(ha); -onta|*superlative (suf)
-iel|name suffix (suf)
-in; -th|plural suffix (suf)
-inci|diminutive superlative (suf)
-inthir|diminutive (suf)
-in|adjective ending (suf)
-iof|-bearing (suf)
-la|noun suffix; verbal suffix (suf)
-li; -od; -on; -st; -thi; -uin; -wen; -weth; -wi|noun suffix (suf)
-lim; -rim|many (suf)
-liont|*tendril (suf)
-loth|-grown (suf)
-odro(n); -oglo(n); -wen|augmentative (suf)
-og|adjectival suffix; agental suffix (suf)
-os; -weg|masculine suffix (suf)
-ra; -sta|verb suffix (suf)
-r|plural in verbs (suf)
-tha|noun or adjective suffix; verb suffix (suf)
-thi|*diminutive suffix (suf)
-thlib|-ly or -like (suf)
-thlim|folk; race (suf)
-thwi|fem. patronymic prefix (suf)
-ui; -wi|dual (suf)
-vran; -vron|dwelling (suf)
-wein; -wig; -win|*female suffix (suf)
Ban; ain|god (n)
Ban|one of the Valar (n)
Cwedhrin; Cweneglin|*Elvish (Qenya) (n)
Cwenn|Elf (n)
Egla|fairy; (lit.) being from outside (n)
Gilim; Hess; folorin|winter (n)
Gold [ng-]; Goltha [ng-]; Gul [ng-]|Gnome (n)
Golda [ng-]|Gnome; wise one (n)
Goldogrin|Language of the Gnomes (n)
Goldrin|Gnome (adj)
Gwala|one of the gods (n)
Gwalion; Gwalon|male god (n)
Gwalir; Gwalthir|female god (n)
Rân; Silma; Thilim|*Moon (n)
Sil|Moon; Rose of Silpion (n)
a(d); avin; bin; da|into (prep)
a(n); nan|of (prep)
a- (pref)|? (pref)
a- (pron)|3rd-person pronoun; it; they (pron)
a; o; uf|from (prep)
abair|victory (n)
abod|again; back; in exchange; in return (adv)
abont|back; backwards (adv)
acha; âch|waterfall (n)
ach|too; *excessively (adv)
adhin; dîn|formerly; long ago; once (up a time) (adv)
adhwen|approach; avenue (n)
adr(a)|lying athwart; situated on far side (adj)
adron|beyond; further; on other side; over (adv)
adros|crossing; ford (n)
adrum; odrum|hammer (n)
adr|across; athwart (prep adv)
agla; aglen; gwinc; tang|flash (n)
aglar(i)ol|glorious (adj)
aglar|glory (n)
agraith; agrech|contempt (n)
agra|excessive; extreme; vehement (adj)
agrectha-|to contemn; to despise (vb)
agrectharol|contemptible; despicable (adj)
agrecthion|despised (adj)
agros|excess; excessively; too (adv)
aibin; aibios|cherry (tree) (n)
aidha|nest (n)
aidlan; ain; aina; ainan; aindana; sinnai|today (n)
aidra-|to expiate (vb)
aidros|expiation (n)
aigli; bil|bird (n)
aigos; aiguis|pine-tree (n)
ail; ailion|lake; pool (n)
aina; ineg; inig|small (adj)
aindanathon|today (adj)
ainil; ainuil|(female) god (n)
ainog; ainos|(male) god (n)
aisc|bitter; sharp; sharp edge of a blade (adj n)
aista-|to revere (vb)
aistog; eirin; mani|holy (adj)
aistog|awful; revered (adj)
aist|awe; reverence (n)
ais|knowledge; wisdom (n)
aith; aithr|thorn (n)
aith; aithwen; ectha|sword (n)
aitha-|to prick; to sting (vb)
aithl; aithyl; tuil|spring (n)
aithla-|to bubble up; to issue forth; to spring (from) (vb)
aithog; aithra|thorny (adj)
aithos|thorn bush (n)
aithrog; aithron; aithweg; gothweg; mord; mort|warrior (n)
aivin; aivor|colony of birds; rookery (n)
ai|oh! (interj)
alaf|broad of the back (n)
alan; rôma|shoulder (n)
alc(hor)|fane; shrine; temple (n)
alch(ar)|shrine; temple (n)
alcharn; durog; duruin; âlog|wooden (adj)
alcharn; âlog|of wood (adj)
alepthog; alewthion|having fingers (adj)
alepthog; lepthadrin; lepthindros|fingered (adj)
alf; alfa; alfuil(in); silwin|swan (n)
alm(oth); alos; drui; drû; gawlas; goloth [ng-]; tavros|forest (n)
alm|back (from shoulder to shoulder); shoulders (n)
altha-|to grow (high); to shoot up (vb)
altha|sapling; scion; shoot; sprig (n)
alw(eg)|lofty (of living things, trees, men) (adj)
am (adv)|above; towards head of; up; upwards (adv)
am (n)|breast; front (chest) (n)
am(b)ros(t); amrost; aurost; glô; haurost; hyrost|dawn (n)
amabwed; mabwed|having hands (adj)
amaith; amil; mab(a); mabir; mam; nanwin; nân|mother (n)
amlad; ladwen|surface (n)
ammogrint|red-breast[ed] (adj)
ammos|byrne; cuirass; hauberk (n)
amon (adv)|against stream; uphill (adv)
amon (n)|hill; mount; steep slope (n)
amosgarn; cilobinc; crinthammos; cílobi|robin (n)
amoth|breast (n)
amra-|to go up and down; to live in the mountains; to roam; to wander (vb)
amrad; amraith|nomand; wanderer (f.) (n)
amrint|lark (n)
amrod|living in wilds; wandering (adj)
amrog-dorn|brown wanderer; gipsy (n)
amrog|nomand; wanderer (n)
angrin|iron; of iron (adj)
ang|iron (n)
annai; eg; egros|far away (adv)
anna|door; opening (n)
annor(in); annuir; awl; dara|*lofty (adj)
ann|door (n)
