aglâb|language (n)
aya|upon (prep)
baraz|red, ruddy (adj)
bark|ax (n)
ûl|streams (n)
bund|head (n)
duban|valley (n)
bizar|a dale or valley (n)
dûm|excavations, halls, mansions (n)
felak|a tool for cutting stone (n)
gabil|great (adj)
gathol|fortress (n)
gundu|underground hall (n)
iglishmêk|gesture-language (n)
inbar|horn (n)
kheled|glass (n)
Khuzd|Dwarf (n)
Khuzdul|Dwarvish (n)
kibil|silver (n)
mazarb|records, documents (n)
mênu|you (acc. pl.) (pron)
-n|-one (suf)
nâla|path, course, river-course or bed (n)
narâg|black (adj)
rukhs|Orc (n)
shathûr|cloud(s) (n)
sigin|long (adj)
sulûn/salôn|to fall, descend swiftly (vb)
thark|staff (n)
turg|beard (n)
-u|of, in (suf)
-ul|of (suf)
uzbad|lord (n)
uzn|dimness, shadow (n)
azan|dark, dim (adj)
zâram|pool, lake (n)
zigil|silver (colour) (adj)
zirak|spike (n)
