(a)larca|rapid; swift (adj)
(a)ranya; mirima|free (adj)
(a)vaháya|*far away (adv)
(ec)coiru-|to come to life (vb)
(nai)naina-|to lament (vb)
-(n)dil; -dildo; -iël; -nil; -nildo|-friend (suf)
-(n)dur|*servant (suf)
-(u)va|future suffix (suf)
-(á)rë; -ndë; -stë|general action verbal suffix (suf)
-alima; -ima|-able; -ible; able to be done (suf)
-ando|agent (male) (suf)
-a|adjectival suffix (suf)
-el; -ser|friend (suf)
-ello; -llo|ablative element (suf)
-esta|*close grouping (suf)
-i; -r|plural suffix (suf)
-ina|adjective suffix; passive participle (suf)
-inqua|complete; *-ful (suf)
-ion|-son (suf)
-itë; -maitë|(verbal) adjective ending (suf)
-iël; -iën|daughter (suf)
-iën; -ndor|-land (suf)
-ië|abstract noun; gerund suffix; perfect suffix; stative suffix (suf)
-li|plural (suffix) (suf)
-lya; -rya|imperfect participle (suf)
-lë; -më; -ssë|abstract noun (suf)
-lóra|less; without (suf)
-ma|instrumental (suf)
-mo; -ro|agental suffix (suf)
-ndon|as; like (suf)
-ndo|*agent (male) (suf)
-nta|to become or be made (suf)
-nwa|perfective adjective (suf)
-nyë|I (suf)
-n|genitive suffix (suf)
-on; -wë|masculine suffix (suf)
-on|great (suf)
-o|*genitive ending (suf)
-rasta|twelve (suf)
-rin|-ian; language; racial-adjective (suf)
-r|*archaic allative (suf)
-rë|gerund (suf)
-ssë|locative ending (suf)
-sta; -tta|close grouping (suf)
-sta|*noun suffix (suf)
-ta|causative (suf)
-tur|lord; master; victor (suf)
-ula|apt to; likely to do so; verbal adjective (likelihood, aptitude) (suf)
-umnë|future-past (suf)
-va|adjectival (suf)
-voitë|adjective suffix (suf)
-wë|abstract suffix (suf)
-ya|adjective suffix; aorist active participle; general verbal adjective (suf)
Aini|angelic spirit (f.); holy one (n)
Ainu|angelic spirit; holy one (n)
Aldarya|*Tuesday (n)
Alfírimo|Immortal (n)
Ambar|Earth; World (n)
Anar (Anár-)|Sun (n)
Anarya|Sunday; (lit.) Sun-day (n)
Atan|Man (n)
Cermië; Nólairë|July (n)
Elda; Quen (Quend-); Quendë|Elf (n)
Eldalië|Elf-folk; People of the Elves (n)
Eldarin|Elvish; of the Elves (adj n)
Elenya|Saturday; *Star-day (n)
Ercoirë|February; *First-stirring (n)
Erlairë|June; *First-summer (n)
Erquellë|September; *First-autumn (n)
Errívë|November; *First-winter (n)
Ertuilë|April; *First-spring (n)
Eru|The One God (n)
Fíriën|Winter (n)
Hísimë [þ]|November; *Misty-one (n)
Isil [þ]|Moon; (lit.) Sheen (n)
Isilya [þ]|Moon-day; *Monday (n)
Lótessë|May; *(lit.) Flower-ness (n)
