(a)tata; atta|two (cardinal)
(au)be|not so (adv)
(e)kwē̆|afresh; anew (adv)
(s)loga|fenland (n)
(s)lōkō|reptile; snake; worm (n)
(ñ)guruk|horror (n)
-(a)lē|abstract noun; adverb (suf)
-(a)rē; -(i)yē|abstract noun (suf)
-(i)yē|adverb (suf)
-(u)mē|denoting a (single) action (suf)
-ai|plural of adjectives (suf)
-ata|numerative dual ending (suf)
-ayā|present continuative (suf)
-b(iy)ē; -iyē; -m(iy)ē|-ing (suf)
-da|allative suffix; motion to or towards a point (suf)
-ddā; -ndā|your (polite plural) (pron)
-dyā|your (polite) (pron)
-dā|product of an action (suf)
-dē|2nd person singular b (superior) (suf)
-i(n)ki|diminutive suffix (suf)
-iel; -ye|feminine suffix (suf)
-ikwā|-ful; adjectival suffix (suf)
-il|old tool and weapon names (suf)
-imā|possibility (suf)
-inā|adjective; passive participle (suf)
-ita|general infinitive (suf)
-iti|habit or special association with the verbal action (suf)
-ittā|ending in feminine names (suf)
-iyē|gerund; perfect suffix (suf)
-i|aorist suffix (suf)
-kkā|your (familiar plural) (pron)
-kwā|-ful (suf)
-kyā|your (familiar) (pron)
-kā̆|adjectival or enlargement (suf)
-kē|2nd person singular a (inferior) (suf)
-ldē|2nd person plural b (superior) (suf)
-lkē|2nd person plural a (inferior) (suf)
-lmē|1st person plural a (exclusive) (suf)
-ltā|3rd person plural a (inanimate) (suf)
-ltē|3rd person plural a (animate) (suf)
-ltō|Plural 3 m. (suf)
-lwē|1st person plural b (inclusive) (suf)
-lyā; -lā|active participle (suf)
-lī|many (suf)
-mmā|our (exclusive) (pron)
-m|ancient plural formation (suf)
-mā|instrumental suffix (suf)
-mē̆n|instrumental; with (which) (suf)
-na|allative; to (suf)
-ndūr|attend; tend (suf)
-ngwā|our (inclusive) (pron)
-ntā|their (pron)
-nwā|passive participle; present (perfect) (suf)
-nyā|my (pron)
-nyē|1st person singular (suf)
-nā|adjective suffix; passive participle (suf)
-nē|past suffix (prep)
-on(do)|masculine ending (suf)
-ro|an old agental formation (suf)
-r|plural verb (suf)
-se-sē̆|3rd sg reflexive (suf)
-skē|2nd person dual a (inferior) (suf)
-smē|1st person dual a (exclusive) (suf)
-ssā|it; its (suf)
-ssē|3rd person singular a (animate) (suf)
-ssō|Singular 3 m. (suf)
-stū|3rd person dual a (animate) (suf)
-stā|collective suffix (suf)
-swē|1st person dual b (inclusive) (suf)
-sya|inceptive (suf)
-syā|her; his; its (suf)
-s|inceptive (verbal suffix) (suf)
-sñe|dual 1st person b (inclusive) (suf)
-ta|noun suffix; single product of an action (suf)
-te-tē̆|3rd pl reflexive (suf)
-twā|their (dual) (pron)
-t|definite article; dual ending (suf)
-tā|causative; verb suffix (transitive) (suf)
-tă|verb suffix (intransitive) (suf)
-wā; -ā|adjectival (suf)
-wā|possessive (suf)
-wē|male suffix; person (suf)
-ya|adjectival suffix (suf)
-yā|causative; present participle (suf)
-yă|formative (suf)
-zdē|2nd person dual b (superior) (suf)
-āga; -ō|genitive (suf)
-ā̆|active verbal suffix (suf)
-īm|plural (suf)
-ī|feminine personal ending; plural ending (suf)
-ō̆|pronominal suffix (suf)
-ū|dual (suf)
-ū̆lā|likelihood or aptitude (suf)
Anār|Sun (n)
Baradā|Varda (adj)
Droban-yon; Srāban-yānā|Wilderland (n)
GAWAK|clumsy (n)
aba-|to forbid; to refuse (vb)
abar(o)|one who refuses to act as advised or commanded; recusant; refuser (n)
abta-|to deny; to refuse; to say no (vb)
aikwā|steep; tall (adj)
airē|holiness; sanctity (n)
airō|ocean (n)
ai|supposing (adv)
ak(a)lar|*radiance (n)
akkal-|to blaze; to shine (suddenly and) brilliantly (vb)
akla-; aklata-|to flash; to shine out (vb)
aklar(a)|brilliance; glory; radiance (n)
aklari(n)kwā|full of glory (adj)
aklāra|brilliant; glorious (adj)
aktō|[ᴹ✶] maker; artificer; wright (n)
akwā|altogether; completely; fully; wholly (adv)
alfirīne|not dying (adj)
alkwā|swan (n)
am(a)|furthermore; moreover; to proceed (adv conj)
am-|intensive prefix (pref)
amal; amas; amma; amme; emel; emer|mother (n)
ambar(a)|establishment; the settlement; the world (n)
ambu; ambō; ṃbono|hill (n)
ambuna|hilly (adj)
ammat-|to devour; to eat up (vb)
amtā-|to enlarge; to increase (vb)
anak|against; opposite (adv)
and(ă)|moreover; to go on further; to say more (adv conj)
andā|far; long (adj)
angā|iron (n)
ankā|(animal’s) mouth; [ᴹ✶] row of teeth; jaws (n)
annā|gift (n)
antā-|to [ᴹ✶] present; to cause a thing/person to go to an object; to give; to send (vb)
an|to (prep)
ap-pata|to walk behind on a track or path (vb)
ap’lata|prohibition; refusal (n)
aras(sō); kelebō|hart (n)
ara|beyond; further than (adv prep)
arn(a)-|noble; royal (pref)
arphō|seizer; thief (n)
artaurē|Realm (n)
arātā; rāta|high; lofty; noble (adj)
as(a)|and (prep)
asa-|*beside (pref)
askōlimā|equivalent; (lit.) beside-bear-able (adj)
askō|bone (n)
asmarō|*neighbor (n)
as’tāră|faith; loyalty (n)
atar|father (n)
atatya|double (adj)
athmō|good companion (n)
au-; awa-; wā-|away (pref)
aumata-|to corrode; to eat away (vb)
auri|heat; period of sun (n)
awā|away (adv)
aw’tha|a dim shape; spectral or vague apparition (n)
ayanā|to bless; to hallow; to treat as holy (vb)
a|indefinite subject (pron)
añkal-|to blaze (vb)
aññala|mirror (n)
aþayā|beneficial‽ (n)
aþra-|to cross (to and fro) (vb)
banayā|Vanyar (n)
bani; wanyā|fair (adj)
banwa; wanwa|departed; gone; lost; taken away (adj)
banya; delya|beautiful (adj)
barani|brown; russet (adj)
barathī; tārī|queen (n)
buzbō|large fly (n)
bākwet-|to prohibit; to refuse; to say no (vb)
bāta-|to ban; to forbid; to prohibit; to refuse (vb)
bē|as; like (prep)
daira|great; large (adj)
dalath|deep valley or valley enclosed with woods (n)
dankĭnā|slain (adj)
dede|2nd person dual (pron)
delya-|to go; to proceed; to travel; to walk (vb)
delya|fine; lovely (adj)
dene|lithe; pliant; thin and strong (adj)
deulē|mistake (n)
de|you (pl.) (pron)
dirnā|tough (adj)
dond(a); kwāra|fist (n)
dorno|oak (n)
duinē|(large) river (n)
durnu|dark of hue (adj)
dāra|wise (adj)
dērā|difficult; hard (adj)
dōmē|night; twilight (n)
dūbā|bend; bow; curve (n)
e; se; te|3rd person singular pronoun; he; it; she (pron)
ebe-|to can of mere possibility according to likelihood; to etc.; to natural probability (vb)
edelā|the fair (n)
edelō|marcher; migrant; one who goes; traveller (n)
ekka|hole (n)
ektel-|to gush; to spring out (of water); to spurt out (vb)
ektā-|to prick with a sharp point; to stab (vb)
ekwē|said; say; says (prep)
el-ā|lo!; look!; see! (interj)
eledā|of the stars; star-folk (n)
elen-barathī|star-queen (n)
elen; ēl|star (n)
elenyā; elenā|connected with or concerning the stars (adj)
elwe|inclusive; we = you and I/me (pron)
ened|centre; middle (n adj)
enkeya|6th (ordinal)
enki|that by you over there (addressing or writing to someone at a distance) (pron)
ent(h)a|away over there; in time to come (pron)
ent|over there (adv)
enya|away back there; long ago (pron)
en|[ᴹ✶] yonder; again; further; next; then in that (past) time (adv)
epe|after of time; after or behind of place (prep)
erikwa|alone; single (adj)
eryā|isolated; lonely (adj)
et-kelē|issue of water; spring (n)
et-pel|outer fence (n)
etkat-|to [ᴹ✶] fashion; to form; to [✶] (lit.) out-shape (vb)
etkoiru-; koiru-|to come to life (vb)
etkuinu-|to awake; to wake up (vb)
etlendā|exiled (adj)
etlō|outsider; stranger (n)
etr-|to open (intransitive) (vb)
ettul-|to come out; to issue (vb)
et|forth; out (of) (prep)
ezdē|rest (n)
eñ-|to exist (vb)
firīne|dying; mortal (adj)
gaili|ray (n)
gairā|awful; fearful (adj)
galadarembinā|tree-meshed (adj)
galadā|great plant; tree (n)
galast-|marble; (orig.) thing pleasant to touch (n)
galmā; lotho/a; lotse|flower (n)
galā-|to grow (of plants) (vb)
galādu|thicket (n)
gampa|hook (n)
gardā|region (n)
gayakā|dire; terrible; *fell (adj)
gayār|sea; the terrifier (n)
gilyā|silver spark (n)
glada-|to laugh (vb)
glaware|sheen of gold (n)
gollo|cloak; fur (n)
gon-|a stone (n)
gondō|rock; stone (n)
gorē|heart; inner(most) mind (n)
grauk-|a powerful hostile and terrible creature (n)
grawa; grā; yarr-|dog (n)
grottā|(large) excavation; underground dwelling (n)
grā; morokō|bear (n)
gwa-; wō; ñwa-|*together (pref)
gwa-lassiē|foliage (n)
gwā-ƀandina|met (adj)
gāyā|great fear; terror (n)
gō; ăwă|from (prep)
gōr(i)kubā|traitor (n)
hek-wā|except; excluding; leaving aside; not counting (adv prep)
hekelā; heklō|a waif or outcast (n)
heke|apart; not including (adv)
heklanā|forsaken (adj)
hektā-|to cast out; to forsake; to set aside (vb)
hyōba|shadow; spirit (n)
hō|as described by a genitive; coming from; from (adv)
i (article)|definite article; the; weakest demonstrative (article)
i (pron)|relative (pron)
idde; inde|you (polite emphatic) (pron)
igwe; ingwe|we (inclusive emphatic) (pron)
ikke|you (familiar emphatic) (pron)
ilū|all; everything; the whole (n)
im-dō|centre of reason; innermost being; self (n)
imbi; mīni|between (prep)
imbē|deep valley; wide ravine (n)
imde|yourselves (pron)
imme|we (exclusive emphatic) (pron)
immā; immō|reflexive (pron)
