(a)larca|rapid; swift (adj)
(a)nacca|cut; defile; narrows; pass (n)
(a)taryo|daddy (n)
(a)vaháya|*far away (adv)
(ana)tarwesta|crucifix(ion) (n)
(apa)ruivë|fire as conflagration; wild fire (n)
(cirya)talan|deck (of a ship); main deck (n)
(e)mecima|accurate; always aiming at the mark (adj)
(ec)coiru-|to come to life (vb)
(en)no|*then; next (adv)
(es)sa|*that (there) (pron)
(h)róna|east; eastern (adj)
(h)áva|*its; 3rd sg. neut. possessive emphatic (adj)
(h)íva|*her; 3rd sg. fem. possessive emphatic (adj)
(h)úva|*his; 3rd sg. masc. possessive emphatic (adj)
(i)missë|inside (n)
(lu)lútië|cruise; (lit.) floating/sailing about (n)
(n)ungwar-|to hinder; to sabotage; to sap; to undermine; to weaken; (lit.) to under/down-fret (vb)
(nai)naina-|to lament (vb)
(o)combëa|assembled; collective; concerted; consolidated; cooperative; corporate (adj)
(o)combë|*congregation; assemblage; assembly; collection; gathering (n)
(o)notasta|amount (n)
(or)tandë|above (of motion upwards) (adv)
(y)otulma|coincidence; concurrence; simultaneity; synchronicity (n)
-(i)la; -n (-nd-)|active participle (suf)
-(i)llo; -ccë; -ilco; -stë; -xë|you (dual) (suf)
-(l)inta; -(w)inta; -(w)intë; -itsa; -itsë (-itsi); -lintë; -litsë (*-litsi); -lla; -llë; -pi(t); -tsa|diminutive (suf)
-(n)dil|-friend; -lover; devotion; disinterested love (suf)
-(n)duinë|(large) river (suf)
-(n)dur|servant (suf)
-(n)dórë|*large number suffix; -illion (suf)
-(u)ma|a; an; certain; some (suf)
-(u)va|future suffix (suf)
-(v)ando; -(y)ando; -yanda|augmentative (adj)
-(á)rë; -ndë|general action verbal suffix (suf)
-a; -ina; -ra; -ëa|adjectival suffix (suf)
-alima|-able; possible (suf)
-arya|*inceptive (suf)
-carya|-doing (suf)
-carë|action; doing; making (suf)
-cca; -lla; -sta; -xa|your (dual) (suf)
-da|product of an action (suf)
-dildo; -nil; -nildo|-friend (suf)
-dil|-friend; -lover (suf)
-dur|*servant; -servant (suf)
-el; -ser|friend (suf)
-elca; -olca|able to (suf)
-ello|ablative element (suf)
-enca|-less; without (suf)
-esta|*close grouping (suf)
-ica|partitive (suf)
-iel|-daughter; daughter; feminine suffix (suf)
-ien (Mankind)|daughter; feminine ending (suf)
-ien; -ndor (Social Relations)|-land (suf)
-ie|abstract noun; gerund suffix; perfect suffix (suf)
-ilda; -on; -umya; -umëa; -úmë|augmentative (suf)
-ilqua|-ly or -like (suf)
-ima|-able; -ible; [with short base vowel] *having a (strong) nature of; able to be done; possible (suf)
-ina|adjective suffix; passive participle (suf)
-incë|*diminutive; diminutive ending (suf)
-inen|of; out of; partitive suffix (suf)
-inqua|-ful; complete (suf)
-inquë; -nquë|thou-and-I (dual) (suf)
-inya|diminutive; worthy to be - (suf)
-inë; -lis; -rin; -rë|noun suffix (suf)
-ion|-son; masculine patronymic (suf)
-issë|ending in feminine names (suf)
-ita|particular infinitive (suf)
-itë (-iti-)|[with verbs] capable of doing; adjectival ending; generally (and naturally) doing (suf)
-itë (Grammar)|adjective ending (suf)
-itë; -maitë (Physical Acts and Materials)|(verbal) adjective ending (suf)
-i|general plural for nouns; plural suffix; simplest aorist infinitive (suf)
-ië|-ing; abstract noun; adverb; gerund suffix; perfect suffix (suf)
-l(yë)|you (polite) (suf)
-lda|a comparative suffix; augmentative; your (plural) (suf)
-ldë; -llë (Grammar)|you (plural) (suf)
-ldë; -llë; -ndë (Physical Acts and Materials)|feminine agent (suf)
-li|a lot of; many; multiplicative suffix; partitive plural (suffix); plural (suffix); some (suf)
-lla|your (plural polite) (suf)
-llo|(movement) from; ablative element; ablative suffix; out of (suf)
-llumë|-times (suf)
-llë|you (dual polite) (suf)
-lma|our (exclusive); our (inclusive dual) (suf)
-lmo; -ngo; -ngwë; -ngë (Grammar)|we (inclusive dual) (suf)
-lmë|we (exclusive) (suf)
-lta|?causative; theirs (suf)
-ltya; -ntya|theirs (suf)
-ltë; -ntë|they (suf)
-lva; -lwa|our (inclusive) (suf)
-lvë; -lwë|we (inclusive) (suf)
-lya|imperfect participle; your (polite) (suf)
-l|dative suffix; plural [verb]; you (polite) (suf)
-léni; -lénu|long (suf)
-lë; -më; -rë; -ssë; -vë|abstract noun (suf)
-lóra|less; without (suf)
-mas (-mast-)|-by; -ton (suf)
-matya|-eating (suf)
-ma|a; certain; instrumental; passive participle; some (suf)
-men(d-)|a single action (suf)
-mië|*noun ending (suf)
-mma|our (exclusive dual) (suf)
-mmo; -mmë; -nwë|we (exclusive dual) (suf)
-mo; -r(o)|agental suffix (suf)
-n (Grammar)|dative; genitive suffix (suf)
-n(yë)|I (suf)
-nca|your (plural familiar) (suf)
-ncë; -ntyë|you (plural familiar) (suf)
-ndacil|-slayer; -victor (suf)
-ndon|-ily; -like; -ly; as; like; manner suffix (suf)
-ndor; -nor|country; land (suf)
-ndo|(masculine) agent; *agent (male); masculine suffix (suf)
-nen|instrumental (suf)
-ngwa; -nqua|our (inclusive dual) (suf)
-ngwë (Spatial Relations)|*together (suf)
-ni; -si; -sse; -tsi (Mankind)|feminine suffix (suf)
-nil|-lover (suf)
-nna|(movement) to; allative suffix; at (arriving at a point); onto; towards (suf)
-noina; -noitë; -së; -voitë; -wa|adjective suffix (suf)
-non (-nóm(e)-)|-place; -spot (forms place-names, area nouns) (suf)
-nta|their; they (neuter); to become or be made (suf)
-nto; -sto|fraction suffix (suf)
-nu; -on; -we|masculine suffix (suf)
-nur|-servant (suf)
-nwa|active participle (intransitive verbs); passive suffix; perfective adjective; perfective participle (suf)
-nya|my (suf)
-on|great (suf)
-oran; -uran(do)|town (suf)
-o|genitive ending; of (suf)
-quil(e)a|-hued (suf)
-quilna|-pied (suf)
-r (Grammar)|impersonal [verb]; plural suffix (suf)
-r (Spatial Relations)|*allative; *archaic allative; motion to or towards a point (suf)
-rasta|twelve (suf)
-rin|-ian; language; racial-adjective (suf)
-rya (Grammar)|her; his; its; their (colloquial) (suf)
-rya|imperfect participle (suf)
-rë; -sta|gerund (suf)
-s(sa)|3rd person singular neuter (suf)
-s(së)|he; her; him; it; she (suf)
-ssa|her; his; its (suf)
-sse (Grammar)|at; by; in; inessive suffix (suf)
-ssë|locative ending (suf)
-sta (Grammar)|*noun suffix; infinitive; verbal noun; verbal noun suffix (suf)
-sta (Quantity and Number)|*part; close grouping (suf)
-stir|face (suf)
-sto; -stë; -ttë|they (dual) (suf)
-s|he; it; she (suf)
-t (Grammar)|dual; dual ending; they (object suffix) (suf)
-t; -tyë|you (familiar) (suf)
-tar|honorific (suf)
-ta|causative; causative verb suffix (suf)
-tië; -ya|verbal suffix (suf)
-to|reflexive suffix (suf)
-tta (Grammar)|their (dual) (suf)
-tta|close grouping; to become or be made (suf)
-tulë (tuli-)|bearing; etc. (suf)
-tur|lord; master; ruler; victor (suf)
-tya|causative; comparative; their (dual); your (familiar) (suf)
-ula|apt to; likelihood or aptitude; likely to do so; verbal adjective (likelihood, aptitude) (suf)
-umnë|future-past (suf)
-uva|future tense suffix (suf)
-u|adverb suffix; dual ending (suf)
-valta|-less (suf)
-va|adjectival; possessive or adjectival ending (suf)
-vë|adverb (suf)
-vícë|as (suf)
-wen|*number suffix (suf)
-we|abstract suffix (suf)
-wë (Grammar)|a; an (suf)
-wë (Mankind)|ancient name suffix (usually but not always masculine) (suf)
-xë|reflexive verbal inflection (suf)
-ya|adjective suffix; aorist active participle; general verbal adjective; her; his; its (colloquial); suffix of endearment (suf)
-yon|-son (suf)
-yë|and (pairs) (suf)
-ëa|continuative present; ordinal suffix (suf)
-ë|plural of adjectives (suf)
-úmë|[large]; of quantity (suf)
Aini|(pagan) goddess; angelic spirit (f.); holy one (n)
Ainu|a (pagan) God; angelic spirit (m.); holy one (n)
Aldëa|*Tuesday; Tree-day (Númenórean) (n)
Aldúya|*Tuesday; Day of the Two Trees (n)
Alfírimo|Immortal (n)
Ambar|Earth; Settlement; The World; World; (lit.) Habitation (n)
Ambustar|the East (n)
Américárin|American (adj)
Anahristo|Antichrist (n)
Anar (Anár-)|Sun (n)
Anarya|Sunday; (lit.) Sun-day (n)
Asiya|Asia (n)
Atan|Man; (lit.) the Second (People) (n)
Casar; Norno; naucon (naucond-)|Dwarf (n)
Cermië|July (n)
Cimrinórin|Welsh (n)
Eldalië|Elf-folk; Elven-folk; People of the Eldar; People of the Elves (n)
Eldarin (adj n, Language and Music)|Elvish (language); of the Eldar (adj n)
Eldarin (adj n, Religion and Beliefs)|Elvish; of the Elves (adj n)
Eldarin; Eldarinwa (adj)|Elfin (adj)
Elda|Elf; beach-fay; (lit.) one of the Star-folk (n)
Elenya|*Star-day; Saturday (n)
Endëranda|Middle-Ages (n)
Ennosta|Renaissance (n)
Erutercáno|prophet; (lit.) God-herald (n)
Eruva; valaina|divine (adj)
Eru|God; The One; The One God (n)
Faranconórë|France (n)
Foinicer|Phoenicians (n)
Foralcar|aurora; (lit.) northern radiance (n)
Hellenórë|Greece; Greek people (n)
Hristondur|Christian; (lit.) Servant of Christ (n)
Hyaralcar|aurora; (lit.) southern radiance (n)
Hísimë [þ]|*Misty-one; November (n)
