(a)moth|fen; marsh (n)
(be)bilfir|conscience (n)
(m)bara-; dortha- [nd-]|to dwell (vb)
(n)adi; adar; bâb; nathon|father (n)
(n)adi; ada|daddy (n)
-(i)ol; -iel; -in; -r(i)ol; -ra; -ren; -thol; -ui; -wed|adjective suffix (suf)
-(i)ol|active participle (suf)
-(i)on; -eg; -i|adjectival suffix (suf)
-(r)il; -dis|feminine agent (suf)
-(r)on; -ir; -or|agental suffix (suf)
-(u)m|?indefinite suffix (suf)
-ad (Grammar)|dual; noun-suffix (suf)
-ad|gerund (suf)
-ant|3rd person past tense; regular past tense (suf)
-as; -eth; -ith; -os; -ri; -th|abstract noun (suf)
-ath; -rim|collective or group plural (suf)
-a|[old] genitive suffix; genitive suffix (suf)
-bar|-ham; dweller; home (suf)
-carn|*-made (suf)
-c|noun or adjective suffix (suf)
-dil; -nil|friend; lover (suf)
-dor|*king; lord (suf)
-drin; -grin|suffix in the name of languages (suf)
-eb|adjectival suffix; adjective suffix (suf)
-ed|3rd person singular possessive suffix; gerund (suf)
-eg (Grammar)|2nd person singular familiar possessive suffix; diminutive/singular ending (suf)
-egir|2nd person plural familiar possessive suffix (suf)
-elir|2nd person plural polite possessive suffix (suf)
-el|2nd person singular polite possessive suffix (suf)
-emir|1st person plural exclusive possessive (suf)
-enc; -engir|1st pl. incl. poss. suffix; our (inclusive) (suf)
-ent|3rd pl. poss. suffix; their (suf)
-en|1st sg. poss. suffix; adjective suffix; my (suf)
-eth; -ien|feminine ending (suf)
-garn|-made (suf)
-gen|*earth (suf)
-gon (Emotion)|valour (suf)
-gon (Social Relations)|lord; prince; valour (suf)
-i; -r|dative suffix (suf)
-iad|comparative ending (suf)
-ian(d)|-land; country (suf)
-iant(ha); -iont(ha)|*superlative (suf)
-iant|superlative ending (suf)
-iel (Grammar)|perfective-participle (suf)
-iel (Mankind)|daughter; feminine suffix; name suffix (suf)
-ig|diminutive/singular ending (suf)
-il|feminine suffix (suf)
-in (Grammar)|adjective ending; plural suffix (suf)
-iof|-bearing (suf)
-ion (Grammar)|*agental suffix (suf)
-ion (Mankind)|-son; son (suf)
-ion; -on(d) (Social Relations)|-land; -region (suf)
-ir (Grammar)|past of intransitive verbs (suf)
-la|noun suffix; verbal suffix (suf)
-li; -st; -thi; -wen; -weth; -wi|noun suffix (suf)
-lim|many (suf)
-liont|*tendril (suf)
-loth|-grown (suf)
-nt|past of transitive verbs (suf)
-n|genitive suffix (suf)
-oglo(n)|augmentative (suf)
-og|singular suffix (suf)
-ol|continuative [active] participle (suf)
-on; -os; -oth (Grammar)|augmentative suffix (suf)
-on; -we (Mankind)|masculine suffix (suf)
-onta|superlative (suf)
-o|imperative (suf)
-ra; -sta|verb suffix (suf)
-ra|many Sindarin adverbs end in [this] (suf)
-riel|crowned maiden (suf)
-rim (Grammar)|group plural (suf)
-rim|*many (suf)
-rod|abstract nom[inals] (suf)
-r|plural in verbs (suf)
-tha|causative suffix; noun or adjective suffix; verb suffix (suf)
-thi|*diminutive suffix (suf)
-thlib|-ly or -like (suf)
-thlim|folk; race (suf)
-tt; -ui; -wi|dual (suf)
-uin|*noun suffix (suf)
-ui|*-able; -ful; [as verbal suffix] possibility; having quality; suitability (suf)
-u|a person or being (suf)
-vron|dwelling (suf)
-weg|active in doing (suf)
-wein; -wig|*female suffix (suf)
-wen|*female suffix; maiden (suf)
-we|being; individual; person (suf)
Adan|Man (as a species) (n)
Aeni|(female) angel (n)
Aenu|(male) angel (n)
Anaur; Anor|Sun (n)
Balan|God; Power; Vala (n)
Cerfeth; Cerveth|July (n)
Cwedhrin; Cweneglin|*Elvish (Qenya) (n)
Dantilais; lasbelin|autumn (n)
Dân [nd-]|Green-elf (n)
Edhel; Eledh; Elen; Ell; penedh; penn|Elf (n)
Egol; Idhel; Ileth; Uidhol; Uigol|elf (n)
Eledhes|*Elf-maid (n)
Eledhon|*Elf-man (n)
Eledh|Star-folk (n)
Elleth|Elf-maid (n)
Ellon|Elf-man (n)
Eru|God (n)
Feir|Mortal; mortal man (n)
Firieth|(Female) Mortal (n)
Firion|(Male) Mortal (n)
Forchalad|aurora; (lit.) northern radiance (n)
Fíreb|Mortal (n)
Girithron|*Shuddering-one; December (n)
Gold [ng-]; Goltha [ng-]; Gul [ng-]|Gnome (n)
Goldogrin|Language of the Gnomes (n)
Goldrin|Gnome (adj)
