(1) -(r)il; (2) -dis|feminine agent (suf)
(1) -(r)on; (2) -or|agental suffix (suf)
(1) -ad; (2) -ed|gerund (suf)
(1) -as; (2) -os; (3) -th|abstract noun (suf)
(1) -eb; (2) -en; (3) -iel; (4) -in; (5) -ren; (6) -rin; (7) -ui|adjective suffix (suf)
(1) -lim; (2) -rim|group plural (suf)
(1) -on; (2) -we (Mankind)|masculine suffix (suf)
(1) Anaur; (2) Anor|Sun (n)
(1) Dantilais; (2) dannas; (3) firith; (4) lasbelin|autumn (n)
(1) Ithil; (2) Rhân|Moon (n)
(1) Nawag; (2) naug|Dwarf (n)
(1) a; (2) ar|and (conj)
(1) adleg-; (2) adleitha-|*to release (vb)
(1) aer; (2) oear; (3) oer|sea (n)
(1) ambend; (2) ambenn|uphill (adv)
(1) amlug; (2) lhûg|dragon (n)
(1) an; (2) nan|of (prep)
(1) andabund; (2) andrabonn; (3) annabon|elephant (n)
(1) angol; (2) ongol; (3) thû|stench (n)
(1) angos; (2) del; (3) goroth|horror (n)
(1) annûn; (2) dûn|west (n)
(1) arnœdiad; (2) aronoded|innumerable, countless, endless (adj)
(1) ascar; (2) asgar|violent, rushing, impetuous (adj)
(1) badhor; (2) badhron [mb-]|judge (n)
(1) beleg; (2) daur|great, large (adj)
(1) bereth; (2) rhîs (Social Relations)|queen (n)
(1) brennil; (2) hiril|lady (n)
(1) brethel; (2) brethil|beech (n)
(1) cadwar; (2) cadwor|shapely (adj)
(1) calad; (2) galad|light (n)
(1) cam; (2) camm|hand (n)
(1) camland; (2) dalf; (3) dalv|palm of hand (n)
(1) caran; (2) caron; (3) naru|red (adj)
(1) ceir; (2) cîr|ship (n)
(1) cennan; (2) cevnor|potter (n)
(1) chwann; (2) hwann|sponge, fungus (n)
(1) cirban; (2) lorn|haven (n)
(1) crumui; (2) hargam; (3) harwed|left-handed (adj)
(1) cunn; (2) ernil|prince (n)
(1) cûl; (2) naur|flame (n)
(1) daedelu; (2) orthelian|canopy (n)
(1) dam; (2) dring [nd-]|hammer (n)
(1) delia-; (2) doltha-|to conceal (vb)
(1) delos; (2) deloth|abhorrence, detestation, loathing (n)
(1) dineth; (2) dîs [nd-]|bride (n)
(1) dofn; (2) dufui|gloomy (adj)
(1) draug; (2) garaf|wolf (n)
(1) duilin; (2) dúlin(n); (3) merilin(n)|nightingale (n)
(1) durgul; (2) morgul|sorcery (n)
