(a)lá; ná; nása|yes (interj)
(a)nacca|cut; defile; narrows; pass (n)
(a)taryo; atyo; tata|daddy (n)
(apa)ruivë|fire as conflagration; wild fire (n)
(h)róna|east; eastern (adj)
(o)combë|assemblage; assembly; collection; gathering (n)
-(i)la|active participle (suf)
-(i)llo; -ilco; -stë|you (dual) (suf)
-(n)dil|-friend; -lover; devotion; disinterested love (suf)
-(n)duinë|(large) river (suf)
-(n)dur|servant; to serve (suf)
-arya|*inceptive (suf)
-a|adjectival suffix (suf)
-carya|-doing (suf)
-carë|action; doing; making (suf)
-da|product of an action (suf)
-dil; -nil|-friend; -lover (suf)
-dur; -nur|-servant (suf)
-enca|-less; without (suf)
-ima|-able; possibility (suf)
-ina|adjective suffix; passive participle (suf)
-incë|diminutive ending (suf)
-inqua|-ful; complete (suf)
-inquë; -nquë|thou-and-I (dual) (suf)
-ion|-son; masculine patronymic (suf)
-issë|ending in feminine names (suf)
-ita|particular infinitive (suf)
-itë (-iti-)|[with verbs] capable of doing; adjectival ending; generally (and naturally) doing (suf)
-i|general plural for nouns; simplest aorist infinitive (suf)
-iël|-daughter; feminine suffix (suf)
-iën (Mankind)|-daughter; feminine ending; feminine patronymic (suf)
-iën (Social Relations)|-land (suf)
-ië|-ing; abstract noun; adverb; gerund suffix; perfect suffix (suf)
-l(yë)|you (polite) (suf)
-lda|a comparative suffix; your (dual); your (plural) (suf)
-ldë; -llë; -ndë|feminine agent (suf)
-ldë; -llë|you (plural) (suf)
-li|a lot of; many; partitive plural (suffix); some (suf)
-lla (Grammar)|your (plural polite) (suf)
-lla|your (dual) (suf)
-llo|(movement) from; ablative suffix (suf)
-llë|you (dual polite) (suf)
-lma|our (exclusive); our (inclusive dual); our (inclusive) (suf)
-lmo; -ngo; -ngwë; -ngë|we (inclusive dual) (suf)
-lmë|we (exclusive); we (inclusive) (suf)
-lta; -nta|their (suf)
-ltya|theirs (suf)
-ltë; -ntë|they (suf)
-lva|our (inclusive) (suf)
-lvë|we (inclusive) (suf)
-lya|imperfect participle; your (polite) (suf)
-lë|abstract noun; adverb (suf)
-ma; -nen|instrumental (suf)
-matya|-eating (suf)
-men(d-)|a single action (suf)
-mië|*noun ending (suf)
-mma|our (exclusive dual); our (exclusive) (suf)
-mmo; -nwë|we (exclusive dual) (suf)
-mmë|we (exclusive dual); we (exclusive) (suf)
-mo; -r(o)|agental suffix (suf)
