(a)moth; both|fen; marsh (n)
(h)law; lô|flood (n)
-(r)on; -or|agental suffix (suf)
-ad (Grammar)|noun-suffix (suf)
-ad|gerund (suf)
-ant|3rd person past tense (suf)
-as; -th|abstract noun (suf)
-ath; -rim|collective or group plural (suf)
-dil; -nil|friend; lover (suf)
-dor|lord; *king (suf)
-eb; -en; -iel; -in; -ren; -ui|adjective suffix (suf)
-ed|3rd person singular possessive suffix; gerund (suf)
-egir|2nd person plural familiar possessive suffix (suf)
-eg|2nd person singular familiar possessive suffix; diminutive/singular ending (suf)
-elir|2nd person plural polite possessive suffix (suf)
-el|2nd person singular polite possessive suffix (suf)
-emir|1st person plural exclusive possessive (suf)
-enc; -engir|1st pl. incl. poss. suffix; our (inclusive) (suf)
-ent|3rd pl. poss. suffix; their (suf)
-en|1st sg. poss. suffix; my (suf)
-eth; -ien|feminine ending (suf)
-gon|lord; prince (suf)
-ian(d)|-land; country (suf)
-iel (Grammar)|perfective-participle (suf)
-iel (Mankind)|daughter; feminine suffix (suf)
-ig|diminutive/singular ending (suf)
-il|feminine suffix (suf)
-in|plural suffix (suf)
-ion; -on(d)|-land; -region (suf)
-ion|-son (suf)
-ir|past of intransitive verbs (suf)
-i|adjectival suffix (suf)
-nt|past of transitive verbs (suf)
-og|singular suffix (suf)
-ol|continuative participle (suf)
-on; -os; -oth|augmentative suffix (suf)
-on|masculine suffix (suf)
-o|imperative (suf)
-ra|many Sindarin adverbs end in [this] (suf)
-riel|crowned maiden (suf)
-ui|-ful; [as verbal suffix] possibility; having quality; suitability; *-able (suf)
-u|a person or being (suf)
-weg (Grammar)|active in doing (suf)
-weg|*name suffix (suf)
-wen|maiden; *female suffix (suf)
-we|being; individual; person (suf)
Adan|Man (as a species) (n)
Anor|Sun (n)
Balan; Rodon|Vala (n)
Cadlaer|July; *After-summer (n)
Cerveth|July (n)
Eblaer|June; ?Before-summer (n)
Edhel; Ogol|Elf (n)
Eledhes; Ellas; Elles; Elleth|Elf-maid (n)
Eledhon; Ellon|Elf-man (n)
Feir; Fíreb|Mortal (n)
Firieth|(Female) Mortal (n)
Firion|(Male) Mortal (n)
Gavar|*Refuser (n)
Girithron|December; *Shuddering-one (n)
Golodh [ng-]|Noldo; one of the wise folk (n)
Gwaeron|March; *Windy-one (n)
Gwirith|April; *Freshness (n)
Hadhod|Dwarf (n)
Hithui|November; *Misty-one (n)
Ithil; Raun|Moon (n)
Ivanneth|September; *Yavanna-ness (n)
Lothron|May; *Flower-ness (n)
Mithres|*Grey-Elf (f.) (n)
Mithron|*Grey-Elf (m.) (n)
Mîth|Grey-Elf; *Sinda (n)
Narbeleth|October; Sun-fading; Sun-waning (n)
Narwain|January; *(lit.) New Fire (n)
Noegin|Petty Dwarf (n)
Nogon; Nogoth|[Greater] Dwarf (n)
Nogotheg|Dwarflet (n)
Nínui|February; *Watery (n)
Nórui|June; *Fiery (n)
Onod|Ent (n)
Oraeron|Sea-day; *Thursday (n)
Oranor|Sunday; *(lit.) Sun-day (n)
Orbelain|Friday; *Day of the Valar (n)
Orgaladhad|Day of the Two Trees; *Tuesday (n)
Orgaladh|Day of the Tree; *Tuesday (n)
Orgilion|Saturday; *Star-day (n)
Orithil|Monday; *Moon-day (n)
Ormenel|Wednesday; *Heavens-day (n)
Perian|Halfling; Hobbit (n)
Rodyn|alternate name of the last day of the Eldarin six-day week (n)
Torog|Troll (n)
a; adh; ah; ar|and (conj)
a; ae|O! (interj)
ablad|prohibition; refusal (n)
ab|after (prep)
ach; lang|neck (n)
achad|neck (geographically); rock ridge (n)
achar-|to avenge; to do back; to react; to requite (vb)
achared; acharn|vengeance (n)
acharn|(an act of) revenge (n)
ach|*but (conj)
ad-|again; back; re- (pref)
adaneth|(mortal) woman (n)
adar|father (n)
adbed-|to rephrase (vb)
adertha-|to reunite (vb)
aderthad|reuniting (n)
adu; edaid|double (adj)
aduial|(evening) twilight (n)
advir|heirloom (n)
aear; gaear; gaer|sea (n)
aearon; gaeron|*ocean (n)
aeg; maeg; negen|sharp (adj)
aeglir|line of peaks (n)
aeglos|icicle; snowthorn (a plant); (lit.) snow-point (n)
ael; aelin|lake; pool (n)
aen; ain|could; *should (adv)
aerlinn|*hymn; (lit.) holy song (n)
aer|holy; *hallowed (adj)
aewen|of birds (adj)
aew|(small) bird (n)
agar; sereg|blood (n)
aglareb; aglor|brilliant; glorious (adj)
aglar|brilliance; glory; radiance; splendour (n)
ahamar; sammar|*neighbor (n)
ai (interj)|hail! (interj)
ai (pron)|*those who (pron)
air; ereb|lonely (adj)
al- (Emotion)|happily; well (pref)
al- (Grammar)|no; not (pref)
alae|? (interj)
alaf|elm (n)
albeth|(word of) good omen (n)
alf; loth|flower (n)
alfirin|a species of flower; immortal; (lit.) not dying (adj n)
alph|swan (n)
alu; alw; bain; bân|wholesome (adj)
alwed|fortunate; prosperous (adj)
amartha-|to decree; to define; to destine (vb)
amarth|doom; fate (n)
amar|the Earth; the great habitation; world; (lit.) settlement (n)
amdir|hope [based on reason]; (lit.) looking up (n)
amloth|helm crest; (orig.) uprising flower (n)
amon|clump; hill; lump; mass; mountain with steep sides (n)
amrûn|east; sunrise; (lit.) of the uprising (n)
am|up (adv)
an-|intensive prefix (pref)
anann|(for) long (adv)
and; ann|long (adj)
andaith|long-mark (n)
andreth|long-suffering; patience (n)
angerthas|runic alphabetic; (lit.) long rune-rows (n)
anglenna-|to approach (vb)
angren|of iron (adj)
ang|iron (n)
anha-; anna-; anta-|to give (vb)
ann; anw|gift (n)
annon|(great) gate; door (n)
annui|west[ern] (adj)
annûn|sunset; west; (lit.) going down (n)
anta-|to add to (vb)
anwar|awe (n)
an|for; to (prep)
aníra-; ídhra-|to desire (vb)
aphad-|to follow (vb)
aphadon; echil|follower (n)
aphed-|to answer (vb)
ar(a)-|high; noble; royal (pref)
ar-|by; without; **beside (pref)
arahadhw; archaf|throne; (lit.) high seat (n)
aranarth; arnad|*kingdom (n)
aran|chief; king; lord; (lit.) high or noble person (n)
aras|deer (n)
arben; rochir; rohir|knight (n)
ardhon; gardhon|province (n)
arnediad|unnumbered (adj)
arod; raud|noble (adj)
arphen|knight; noble (n)
arthor|realm (n)
astor; astorad|loyalty (n)
ast|light or heat of the sun (n)
ath-|easily; easy (pref)
atha-|to will (future) (vb)
athae|healing; *healing herb (n adj)
athal; nathal; othol|guest (n)
athal; othol|stranger (n)
atheg|[little] father; thumb (n)
athelas|a healing herb; kingsfoil (n)
athgar|easy (easy to do) (adj)
athgen|easily seen (adj)
athra- (Body Parts and Functions)|to treat medically (vb)
athra- (Spatial Relations)|to cross (to and fro) (vb)
athrabeth|conversation; debate; (lit.) interchange of words (n)
athrad|crossing; ford (n)
athragardh; athragared|interaction (n)
aur|(whole) day (n)
auth|dim shape; spectral or vague apparition (n)
ava-|to do not; to will not (vb)
avad|refusal; reluctance (n)
avras|precipice (n)
bain|beautiful; fair; fair-haired; favorable; good (adj)
bal-|*to have power (vb)
balch|ferocious; fierce (adj)
balt|force (n)
ban-; glenna-; gwae-; men-|?to go (vb)
band [mb-]|custody; duress; prison (n)
bar [mb-]; bâr [mb-]|dwelling; home; house (n)
barad|great towering building; tower (n)
baran|brown; golden-brown (adj)
bardh [mb-]|home (n)
bardor [mb-]|home land; native land (n)
barthan [mb-]|dwelling-house; large building of masonry used as a dwelling (n)
bas(t) [mb-]|bread (n)
basoneth [mb-]|breadgiver (n)
bauglir [mb-]|constrainer; oppressor; tyrant (n)
baw [mb-]|howling (n)
baw|no; do not! (interj)
belaith [mb-]; beleg|mighty (adj)
beleg|big; great; large (adj)
bereth|queen; spouse; sublime; supreme (n adj)
besain [mb-]|breadgiver; the Lady (n)
bess|wife (n)
be|in; like; ?as (prep)
boda-|to ban; to forbid; to prohibit; to refuse (vb)
born [mb-]|hot; red (adj)
born|[stead]fast (adj)
bo|*on (prep)
bragollach|sudden flame (n)
bragol|sudden (adj)
brand; brann|tall and massive; towering (adj)
brand|steeple (n)
brass|great cliff (n)
brasta-|to loom; to tower up (vb)
bregol|quick; sudden (adj)
brethil (Agriculture and Vegetation)|silver birch (n)
brethil (Social Relations)|princess; (lit.) queen-daughter (n)
bril|crystal; glass (n)
brithon|pebbly (adj)
brith|gravel (n)
brui|loud (adj)
budhu|large fly (n)
bâd; men; pâd|road (n)
bân|fair; favorable; good (adj)
bôr|heat (n)
cab-|to leap (vb)
cabed|leap (n)
cadhad; naug|dwarf (n)
cad|*after (adv)
caen; pae|ten (cardinal)
caenui; paenui|tenth (ordinal)
caer|*flat isle on a river (n)
cail|fence; palisade of spikes or sharp stakes (n)
cair|ship (n)
cai|hedge (n)
cal-; síla-|to shine (vb)
calad|brightness; fire; light; shining (n)
calan|day(light) (n)
calardan|lampwright (n)
calar|(portable) lamp (n)
calen|fresh; green; vigorous (adj)
cam|(cupped) hand; handful; holding hand (n)
can-|to call; to cry out; to shout (vb)
canad|four (cardinal)
canath|quarter (n)
canhui; canthui; cantui|fourth (ordinal)
cannas|[abstract] shape (n)
cant|shape (n)
car-|to do; to make (vb)
carach|jaws; rows of teeth (n)
caralluin|*red-blue (adj)
caran|red (adj)
caras|circular earthwall with dike; city; fort or dwelling surrounded by bulwarks (n)
carch|fang (n)
cared|action (n)
carfa-|to speak; to talk; to use tongue (vb)
carn; carth|deed (n)
carweg|active; busy (adj)
cast; ness|headland (n)
castol; thôl|helmet (n)
cast|cape (n)
cathrae|tressure; *headdress (n)
cathr|carpenter (n)
caul|affliction; great burden (n)
caun (Language and Music)|clamour; outcry (n)
caun (Social Relations)|chief; head; prince (n)
caw-|to taste (vb)
ceber|spike; stake (n)
celebrin|like silver (in hue or worth) (adj)
celeb|silver (n)
celeg|*hasty (adj)
cen-|to look; to perceive; to see (vb)
cened (n)|looking (n)
cened (ordinal)|four (ordinal)
cenedril|looking-glass; mirror; (lit.) looking-crystal (n)
cerin|artificial hill; circular mound (n)
certhas|runes-rows; runic alphabet (n)
certh|rune (n)
ceven|*Earth (n)
ce|maybe; *might (adv)
cirith|cleft; defile; ravine (n)
ci|thou (pron)
coll (adj)|hollow (adj)
coll (n)|cloak; mantle (n)
condir|mayor; *(lit.) chief-man (n)
cordof|pippin; *a type of yellow and red apple (n)
corod|circle (n)
cor|circle; ring (n)
coth|enemy; foe (n)
cova-|to assemble; to come together; to gather; to meet (vb)
covad(a)-|to bring together; to make meet (vb)
craban|bird of crow-kind; *raven (n)
criss; falch; riss|cleft (n)
crist|cleaver (n)
cuia-|to live (vb)
cuina-|to be alive (vb)
cund; ernil|*prince (n)
curunír|wizard (n)
curu|craft; magic; skill (of the hand) (n)
cáfru|?flea (n)
círdan|shipbuilder; shipwright (n)
cîr|fresh; new (adj)
cîw|fresh; new; renewed (adj)
côf|bay (n)
cûd|foe (n)
cûl|load (n)
cû|bow (n)
cýra-|to renew (vb)
cýron|new-moon (n)
cŷl|*renewal (n)
cŷr|renewed (adj)
dadwen- [nd-]|to go back; to return (vb)
dae- [nd-]|abominable; detestable; dreadful (pref)
dae; gwath; hû|shadow (n)
daebeth [nd-]|blasphemy (n)
daedelos [nd-]|horrible fear (n)
dael [nd-]; del; gor [ng-]; gorog; goroth [ng-]; gorth [ng-]|horror (n)
daer [nd-]|abominable; detestable; dreadful (adj)
daer|great; large (adj)
dag- [nd-]|to slay (vb)
dagnir [nd-]|bane; slayer (n)
dagor [nd-]|battle (n)
dail|beautiful; delicate; fine; lovely (adj)
dalath|low lying/flat ground; plain (n)
damen- [nd-]; dandol- [nd-]|to return (vb)
dan [nd-]|(back in return) against; back again; back on; back to; down upon (prep)
danbeth [nd-]|*answer; (lit.) back-word (n)
dandol- [nd-]|to come back (vb)
dangar- [nd-]|to undo (vb)
dangen [nd-]|slain (adj)
dangweth [nd-]|answer; *(lit.) back-report (n)
danna-; penna-|to fall (vb)
dannen [nd-]|ebb; lowtide (n)
dant|*fall (n)
danwedh [nd-]|ransom (n)
dar-|to halt; *to stop (vb)
daur|league (n)
de; ech|you (pron)
delch|dense (adj)
deloth|abhorrence (n)
delw|thick (of a single thing) (adj)
den|?against (prep)
dern|thrawn; tough (adj)
dev- [nd-]; raitha-; reitha-; ritha-|to try (vb)
dew-|to fail; to miss (vb)
dha|to there is (vb)
di [nd-]|beneath; under (prep)
di; na(n)|with (prep)
dim|stair (n)
dirbedui|difficult to pronounce; hard to utter (adj)
dol(l)|head; hill (n)
dolen; thurin; torn|hidden (adj)
dom|blind (adj)
dond; donn; paur|fist (n)
dorgannas [nd-]|shapes of the lands; *geography (n)
dorn|obdurate; stiff; thrawn; tough (adj)
draug|wolf (n)
drega-|to flee (vb)
dring|hammer (n)
duinen|flood; high tide (n)
duin|(large) river (n)
duwath; dúath|dark/black shadow; night shadow (n)
díhena-; gohena-|*to forgive (vb)
dínen; tínen|silent (adj)
dírnaith [nd-]|wedge-shaped battle-formation; (lit.) man-spearhead (n)
dîn|quiet; silence; silent (n adj)
dîr [nd-]|man (n)
dîr|difficult; hard (adj)
dôr [nd-]|land (n)
dúlin|nightingale (n)
dúnad|descent (n)
dûn [nd-]|west (n)
dûr [nd-]|dark (with evil implications); gloomy; hellish (adj)
dû|dark; dim; dimness; night (n)
dýgar|doing a wrong thing; mistaken act (n adj)
dŷl|mistake (n)
dŷr|mistaken; not right; off point (adj)
e; est; eth; is|he (pron)
eb|?before (prep)
echad-|to cut out; to form; to make; to shape; (lit.) to shape out (vb)
echad|camp (n)
echor|encircling; outer circle (n adj)
echuir|early Spring; (lit.) stirring (n)
echui|awakening (n)
ech|yourself (singular) (pron)
ed; est; eth; is; ten|*it (pron)
edhellen|elvish (adj)
edhelvein; vanedhel; wanedhel|elven fair (adj)
edlen(n)|exiled (adj)
edlon|outsider; stranger (n)
edra-|to open (out) (vb)
edraith|rescue; saving (n)
edregol|in especial (adv)
edwen; tadui|second (ordinal)
ed|out; out of (prep pref)
eglan|forsaken (adj)
egleria-|to glorify (vb)
egor|or (conj)
ego|be off! (interj)
ein-|admirable; excellent (pref)
einior|elder (adj)
eirien|daisy (n)
eitha- (Physical Acts and Materials)|to insult; to prick with a sharp point; to stab; to treat with scorn (vb)
eitha- (Social Relations)|to assist; to ease (vb)
eithad|*insult (n)
eithel|source; spring; well (n)
eithro|*also (adv)
elanor|pimpernel; small golden star-shaped flower; (lit.) sun-star (n)
elia-|to bless (a work); to cause to prosper; to help one (vb)
elloth; lotheg|single flower (n)
elo|behold! (interj)
emel|mother (n)
emig|[little] mother; *mommy (n)
en (prep)|of the (prep)
en (pron)|1st sg pronoun (pron)
en-; esta-|*to name (vb)
enaid|central; middle (adj)
enchui; encui; enecthui|sixth (ordinal)
enedh|centre; middle (n)
ened|centre (n)
eneg|six (cardinal)
eneth|*name (n)
ennas|there (adv)
eno|*still (adv)
ent; est; idi(r); ith|3rd pl. pronoun; they (pron)
ephed-|to say out (vb)
ephel|outer fence; surrounding ring (n)
ephola-|?to remember (vb)
