-o|of (suf)
-rin|-ian, racial-adjective, language (suf)
-ró|future suffix (suf)
-s|definite article (suf)
-tá|verbal noun (suf)
-ya|adjective suffix (suf)
Abar|Dark Elf; (lit.) Refuser (n)
Ella|Elf (adj n)
Ello|Elf (n)
Ellálië|Elvenfolk (n)
Goldolambë|Quenya (n)
Goldo|Noldo (n)
Goldórin|Quenya (n)
Lindalambë|Telerin (Language) (n)
Linda|Teler (n)
Lindárin|Telerin (Language) (n)
Pendia|Quenya (n)
Pendë|Elf (as a race) (n)
Vania|Vanya (n)
aba- (pref)|not (pref)
aba- (vb)|to refuse, will not (vb)
abapétima|not to be said (adj)
abá|don’t (interj particle)
aclar|glory, splendour (n)
aipen|if anybody, whoever (pron)
alata|radiance, glittering reflection (n)
alpa|swan (n)
ambar|the world, the great habitation (n)
andané|long ago, once upon a time (adv)
anda|long (adj)
anga|iron (n)
aplat|prohibition, refusal (n)
arpenia|*noble (adj)
arpen|noble (man) (n)
aráta|noble (adj)
aráto|*noble (n)
atha-|to side with, ally oneself with, assist, serve (vb)
atharo|ally, assistant or satellite (n)
attacë|father [diminutive]; *daddy (n)
atta|father (n)
au-|away (pref)
auta-|to go, depart, pass away (vb)
au|away (adv)
avad|away from (adv)
buspo|large fly (n)
bá|I will not, Do not! (particle)
calar|lamp (n)
cala|light (n)
calca|glass (n)
camba|hand (n)
can-|to cry aloud, call; to summon or name a person (vb)
canatya|fourth (ordinal)
canat|four (cardinal)
car-|to do (vb)
cava|house (n)
ceulë|*renewal (n)
ceura-|to renew, refresh (vb)
ceura|renewed (adj)
ciuran|new-moon (n)
ciure|renewed (adj)
cáno|herald (n)
céva|fresh, new, renewed (adj)
dammë|ebb, lowtide (n)
delia-|to go, proceed (vb)
de|you (pron)
donda|fist (n)
duimë|flood, high tide (n)
duinë|(large) river (n)
duita-|to flood, inundate, drench (vb)
ela|behold! (interj)
elen|star (n)
elna|*of stars (adj)
emmecë|mother [diminutive]; *mommy (n)
emmë|mother (n)
enec|six (cardinal)
ened|middle (adj)
enempë|16 (cardinal)
enetya|sixth (ordinal)
engole|lore (n)
epë|say, says, said (prep)
er|one (cardinal)
evë|a person, somebody (unnamed) (pron)
forma|right-hand (n)
fuinë|gloom (n)
gaiar|Great Sea (n)
galada|tree (n)
galla|tree (n)
gampa|hook, crook (n)
glada-|to laugh (vb)
glana|edge, rim (n)
glanda|a boundary (n)
glania-|to bound, limit (vb)
glanna|bounded, limited (adj)
glavarë|golden light (n)
gáiala|*fell, terrible, dire (adj)
gáia|terror, great fear (n)
góle|long study (of any subject) (n)
hadro|?doctor, leech (n)
hamna|pile, (artificial) mound, heap (n)
han-|to give (vb)
hannacë|brother [diminutive] (n)
hanna|brother (n)
hatha-|to treat (medically) (vb)
hatta|fence, hedge (n)
hauda|hoard, store (n)
heca|be gone!, stand aside! (vb)
