The following outdated cards need to be deleted manually:
dx.Xr6_y2u | alahastaima | incorruptable (adj)
NRyGSNluI5 | lucassë; lucië; luhta; rohta | trespass; *debt (n)
s-=]H!@THe | lucindo; rocindë | one who trespasses; *debtor (n)
p^:n[Q5U+v | mahar; mancaro | merchant; trader; tradesman (n)
J{W&2yZ0,8 | alanancárima | indestructible (adj)
GtC,W2]rqH | aucol- | to remove; (lit.) to bear away (vb)
Js6`(!bjl6 | harno | possessor (n)
q]Uu`|%p.r | hastalë; quelehtië | corruption (n)
C3>V{K3THF | hastima | corruptible (adj)
OF>+zdfnO7 | lucando | debtor; one who trespasses (n)
ppFp;ftZQe | nancárima | destructible (adj)
"OI9#]hOb0i" | ovesta | compact; contract; treaty (n)
s{at<&VN1O | quelehtië | rot (n)
"I}jy;s8#8+" | milya | gentle; soft; weak (adj)
"NsDTZ+#qY#" | nantul-; nanwen-; pel- | to return (vb)
