The following outdated cards need to be deleted manually:
x*,5dn4$:J | nimulë; níma | a seeming; phantom (n)
bFSL.@wCAW | hyarma; hyarmen | left hand (n)
jKx*:><!l( | lá (prep) | across; athwart; over (prep)
m[M}<D5ugU | mina | in; into; to the inside (prep adv)
gsP1d5?C7U | olanwa | adult; fully grown; mature (adj)
mG!+0T%c)y | palla | far beyond (prep adv)
G;nHOrjUwI | rómen | east; uprising (n)
FI8Vgso_wF | va | (away) from; away; gone forth (prep)
im0!~=z<iS | talma (Mind and Thought) | base; basis; foundation (n)
nUETwNc=2> | hont (adv) | inwards (adv)
nH9K}WfzXP | pasta [þ]; runda | smooth (adj)
kr_s:lzKgC | talma (Spatial Relations) | base; foundation; root (n)
M?Ty_Y,T&9 | taltë | at the bottom (adv)
HCh!-*||j) | avar | away down (adv)
i48mocK(To | nunna; taltë | down (adv)
gP3%o{npCq | tanicca (pron) | *that small (pron)
"cn~D,*)#vs" | tanicca (adv) | that little; that small (adv)
